code,name,status,codeforiati:group-code,codeforiati:group-name
BE-BCE_KBO-0264814354,Belgian development agency (Enabel),active,BE,Belgium
XM-DAC-2-10,Belgian Development Cooperation,active,BE,Belgium
CA-3,Canada - Global Affairs Canada | Affaires mondiales Canada,active,CA,Canada
CA-4,Canada Department of Finance / Ministère des Finances Canada,active,CA,Canada
DE-1,Germany - Ministry for Economic Cooperation and Development,active,DE,Germany
XI-IATI-IKI,International Climate Initiative / BMU - IKI Secretariat,active,DE,Germany
XM-DAC-5-52,Germany GIZ Non BMZ,active,DE,Germany
XM-DAC-5-7,Germany - Federal Foreign Office,active,DE,Germany
XI-IATI-EC_ECHO,European Commission - Humanitarian Aid & Civil Protection,active,EC,European Commission
XI-IATI-EC_INTPA,European Commission - International Partnerships,active,EC,European Commission
XI-IATI-EC_NEAR,European Commission - Neighbourhood and Enlargement Negotiations,active,EC,European Commission
ES-DIR3-E04585801,Spain - Ministry of Foreign Affairs and Cooperation,active,ES,Spain
XM-DAC-50-21,Spanish Agency for International Development Cooperation (AECID),active,ES,Spain
FR-3,Agence Française de Développement,active,FR,France
FR-6,France - Ministry for Europe and Foreign Affairs,active,FR,France
GB-GOV-GB-9,UK - Department for Work and Pensions,active,GB,United Kingdom
GB-GOV-9,UK - Department for Work and Pensions,withdrawn,GB,United Kingdom
GB-9,UK - Department for Work and Pensions,withdrawn,GB,United Kingdom
GB-COH-RC000346,UK - Medical Research Council,active,GB,United Kingdom
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",active,GB,United Kingdom
GB-GOV-10,UK - Department of Health and Social Care (DHSC),active,GB,United Kingdom
GB-GOV-12,"UK - Department for Digital, Culture, Media and Sport",active,GB,United Kingdom
GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",active,GB,United Kingdom
GB-GOV-14,UK – Department for Education,active,GB,United Kingdom
GB-GOV-15,Department for International Trade,active,GB,United Kingdom
GB-GOV-2,HM Treasury,active,GB,United Kingdom
GB-GOV-21,UK - Scottish Government,active,GB,United Kingdom
GB-GOV-24,Office for National Statistics,active,GB,United Kingdom
GB-GOV-50,Cross-Government Prosperity Fund,active,GB,United Kingdom
GB-GOV-52,"Conflict, Stability and Security Fund",active,GB,United Kingdom
GB-GOV-6,UK - Home Office,active,GB,United Kingdom
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",active,GB,United Kingdom
GB-GOV-8,UK - Ministry of Defence,active,GB,United Kingdom
XM-DAC-701-2,Ministry of Foreign Affairs of Japan,active,JP,Japan
XM-DAC-701-8,Japan International Cooperation Agency (JICA),active,JP,Japan
NL-KVK-08215619-201210000,Kadaster International,withdrawn,NL,Netherlands
NL-KVK-27367015,Netherlands Organisation for Scientific Research (NWO),withdrawn,NL,Netherlands
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),withdrawn,NL,Netherlands
NL-KVK-30276595,Koninklijk Nederlands Meteorologisch Instituut,withdrawn,NL,Netherlands
XM-DAC-7,Netherlands - Ministry of Foreign Affairs,withdrawn,NL,Netherlands
NL-KVK-27078545,FMO,withdrawn,NL,Netherlands
41120,UN-Habitat,active,UN,United Nations
