code,status,codeforiati:region-code,codeforiati:global-code,codeforiati:iso-alpha-3-code,codeforiati:least-developed-countries,codeforiati:land-locked-developing-countries,codeforiati:sub-region-code,codeforiati:intermediate-region-code,codeforiati:small-island-developing-states,codeforiati:iso-alpha-2-code,codeforiati:developed-developing
012,active,002,001,DZA,0,0,015,,0,DZ,Developing
818,active,002,001,EGY,0,0,015,,0,EG,Developing
434,active,002,001,LBY,0,0,015,,0,LY,Developing
504,active,002,001,MAR,0,0,015,,0,MA,Developing
729,active,002,001,SDN,1,0,015,,0,SD,Developing
788,active,002,001,TUN,0,0,015,,0,TN,Developing
732,active,002,001,ESH,0,0,015,,0,EH,Developing
086,active,002,001,IOT,0,0,202,014,0,IO,Developing
108,active,002,001,BDI,1,1,202,014,0,BI,Developing
174,active,002,001,COM,1,0,202,014,1,KM,Developing
262,active,002,001,DJI,1,0,202,014,0,DJ,Developing
232,active,002,001,ERI,1,0,202,014,0,ER,Developing
231,active,002,001,ETH,1,1,202,014,0,ET,Developing
260,active,002,001,ATF,0,0,202,014,0,TF,Developing
404,active,002,001,KEN,0,0,202,014,0,KE,Developing
450,active,002,001,MDG,1,0,202,014,0,MG,Developing
454,active,002,001,MWI,1,1,202,014,0,MW,Developing
480,active,002,001,MUS,0,0,202,014,1,MU,Developing
175,active,002,001,MYT,0,0,202,014,0,YT,Developing
508,active,002,001,MOZ,1,0,202,014,0,MZ,Developing
638,active,002,001,REU,0,0,202,014,0,RE,Developing
646,active,002,001,RWA,1,1,202,014,0,RW,Developing
690,active,002,001,SYC,0,0,202,014,1,SC,Developing
706,active,002,001,SOM,1,0,202,014,0,SO,Developing
728,active,002,001,SSD,1,1,202,014,0,SS,Developing
800,active,002,001,UGA,1,1,202,014,0,UG,Developing
834,active,002,001,TZA,1,0,202,014,0,TZ,Developing
894,active,002,001,ZMB,1,1,202,014,0,ZM,Developing
716,active,002,001,ZWE,0,1,202,014,0,ZW,Developing
024,active,002,001,AGO,1,0,202,017,0,AO,Developing
120,active,002,001,CMR,0,0,202,017,0,CM,Developing
140,active,002,001,CAF,1,1,202,017,0,CF,Developing
148,active,002,001,TCD,1,1,202,017,0,TD,Developing
178,active,002,001,COG,0,0,202,017,0,CG,Developing
180,active,002,001,COD,1,0,202,017,0,CD,Developing
226,active,002,001,GNQ,0,0,202,017,0,GQ,Developing
266,active,002,001,GAB,0,0,202,017,0,GA,Developing
678,active,002,001,STP,1,0,202,017,1,ST,Developing
072,active,002,001,BWA,0,1,202,018,0,BW,Developing
748,active,002,001,SWZ,0,1,202,018,0,SZ,Developing
426,active,002,001,LSO,1,1,202,018,0,LS,Developing
516,active,002,001,NAM,0,0,202,018,0,NA,Developing
710,active,002,001,ZAF,0,0,202,018,0,ZA,Developing
204,active,002,001,BEN,1,0,202,011,0,BJ,Developing
854,active,002,001,BFA,1,1,202,011,0,BF,Developing
132,active,002,001,CPV,0,0,202,011,1,CV,Developing
384,active,002,001,CIV,0,0,202,011,0,CI,Developing
270,active,002,001,GMB,1,0,202,011,0,GM,Developing
288,active,002,001,GHA,0,0,202,011,0,GH,Developing
324,active,002,001,GIN,1,0,202,011,0,GN,Developing
624,active,002,001,GNB,1,0,202,011,1,GW,Developing
430,active,002,001,LBR,1,0,202,011,0,LR,Developing
466,active,002,001,MLI,1,1,202,011,0,ML,Developing
478,active,002,001,MRT,1,0,202,011,0,MR,Developing
562,active,002,001,NER,1,1,202,011,0,NE,Developing
566,active,002,001,NGA,0,0,202,011,0,NG,Developing
654,active,002,001,SHN,0,0,202,011,0,SH,Developing
686,active,002,001,SEN,1,0,202,011,0,SN,Developing
694,active,002,001,SLE,1,0,202,011,0,SL,Developing
768,active,002,001,TGO,1,0,202,011,0,TG,Developing
660,active,019,001,AIA,0,0,419,029,1,AI,Developing
028,active,019,001,ATG,0,0,419,029,1,AG,Developing
533,active,019,001,ABW,0,0,419,029,1,AW,Developing
044,active,019,001,BHS,0,0,419,029,1,BS,Developing
052,active,019,001,BRB,0,0,419,029,1,BB,Developing
