code,name,status,codeforiati:organisation-type,codeforiati:organisation-type-code,codeforiati:registry-identifier,codeforiati:hq-country-or-region
AU-5,Departamento de Negócios Estrangeiros e Comércio – Austrália,active,Government,10,ausgov,Australia
44000,Banco Mundial,active,Multilateral,40,worldbank,(No country assigned)
US-EIN-941655673,Fundação William and Flora Hewlett,active,Foundation,60,hewlett-foundation,United States
41AAA,Gabinete das Nações Unidas de Serviços para Projetos (UNOPS),active,Multilateral,40,unops,(No country assigned)
GB-CHC-1038860,Frontline AIDS,active,International NGO,21,f-aids,United Kingdom
XI-IATI-EC_INTPA,Comissão Europeia – Parcerias Internacionais,active,Other Public Sector,15,ec-intpa,(No country assigned)
XI-IATI-EC_DEVCO,Comissão Europeia – Cooperação Internacional e Desenvolvimento,withdrawn,Other Public Sector,15,ec-devco,(No country assigned)
SE-0,"Suécia, através da Agência Sueca de Cooperação para o Desenvolvimento Internacional (SIDA)",active,Government,10,sida,Sweden
CA-CRA-89980-1815-RR0001,Engenheiros sem Fronteiras Canadá,active,International NGO,21,ewb_canada,Canada
XM-DAC-41114,Programa das Nações Unidas para o Desenvolvimento (PNUD),active,Multilateral,40,undp,(No country assigned)
GB-CHC-1075920,Indigo Trust,active,Foundation,60,indtrust,United Kingdom
GB-CHC-202918,Oxfam GB,active,International NGO,21,oxfamgb,United Kingdom
FI-3,Ministério dos Negócios Estrangeiros – Finlândia,active,Government,10,finland_mfa,Finland
IE-CHY-6663,Self Help Africa,active,International NGO,21,self-help-africa,Ireland
47045,"Fundo Global de Luta contra a AIDS, a Tuberculose e a Malária",active,Multilateral,40,theglobalfund,Switzerland
XM-DAC-46004,Banco Asiático de Desenvolvimento,active,Multilateral,40,asdb,(No country assigned)
46004,Banco Asiático de Desenvolvimento,withdrawn,Multilateral,40,asdb,(No country assigned)
GB-COH-07676886,Publish What You Fund,active,International NGO,21,pwyf,United Kingdom
NO-BRC-977538319,Conselho Norueguês para os Refugiados,active,International NGO,21,nrc,Norway
NL-KVK-41213450,SPARK,active,International NGO,21,spark,Netherlands
XM-DAC-3-1,"Ministério dos Negócios Estrangeiros, Danida – Dinamarca",active,Government,10,danida,Denmark
GB-CHC-285776,Catholic Agency For Overseas Development (CAFOD),active,International NGO,21,cafod,United Kingdom
47122,"Gavi, a Aliança das Vacinas",active,Public Private Partnership,30,gavi,Switzerland
US-EIN-300108263,GlobalGiving.org,active,International NGO,21,globalgiving,United States
GB-CHC-1029161,Camfed International,active,International NGO,21,camfed,United Kingdom
GB-CHC-291691,All We Can (anteriormente Methodist Relief and Development Fund),active,International NGO,21,allwecan,United Kingdom
GB-CHC-1074937,ADRA-UK,active,International NGO,21,adrauk,United Kingdom
GB-CHC-1017255,Homeless International,active,International NGO,21,hi,United Kingdom
GB-COH-4905100,Resource Extraction Monitoring,active,International NGO,21,rem,United Kingdom
NP-CRO-45995/063/064,Young Innovations Pvt. Ltd,active,"Academic, Training and Research",80,yipl,Nepal
GB-CHC-327421,Article 19,active,International NGO,21,art19,United Kingdom
GB-CHC-328434,ChildHope UK,active,International NGO,21,childhopeuk,United Kingdom
GB-CHC-1092236,Concern Worldwide UK,active,International NGO,21,concernuk,United Kingdom
GB-COH-4075590,LEAD International,active,International NGO,21,lead_international,United Kingdom
XM-DAC-21033,Secretariado da Transparência Internacional,active,International NGO,21,transparency-international,Germany
GB-CHC-1141028,AfriKids,active,International NGO,21,afrikids,United Kingdom
GB-CHC-1089879,EveryChild,active,International NGO,21,evc,United Kingdom
GB-CHC-1126727,MapAction,active,International NGO,21,mapaction,United Kingdom
GB-CHC-254781,The International Children's Trust,active,International NGO,21,theict,United Kingdom
GB-COH-NI21482,Trocaire (Irlanda do Norte),active,International NGO,21,troc,United Kingdom
GB-CHC-1001698,Interact Worldwide,active,International NGO,21,iww_publish,United Kingdom
GB-CHC-1837621,Health Poverty Action,active,International NGO,21,hpa,United Kingdom
GB-CHC-313139,Africa Educational Trust,active,International NGO,21,aet,United Kingdom
GB-CHC-800672,Living Earth Foundation,active,International NGO,21,livingearth12,United Kingdom
GB-COH-0277068,Fauna & Flora International,active,International NGO,21,ffi_publisher,United Kingdom
GB-CHC-1020488,Children in Crisis,active,International NGO,21,cic,United Kingdom
GB-CHC-1090745,ICA:UK,active,National NGO,22,icauk,United Kingdom
GB-CHC-298316,Build Africa,active,International NGO,21,buildafrica,United Kingdom
GB-CHC-265464,Tearfund,active,International NGO,21,tearfund,United Kingdom
GB-CHC-208724,War on Want,active,International NGO,21,waronwant,United Kingdom
GB-COH-06587734,InterClimate Network,active,International NGO,21,icn,United Kingdom
GB-COH-2082273,World Association for Christian Communication (Reino Unido),active,International NGO,21,wacc-uk,United Kingdom
GB-CHC-1064413,African Initiatives,active,International NGO,21,ai_1064413,United Kingdom
GB-COH-05322719,Opportunity International UK,active,International NGO,21,opportunity-international-uk,United Kingdom
GB-SC-SC030289,Mercy Corps Europa,active,International NGO,21,mce,United Kingdom
GB-COH-1100897,Fundação Aga Khan (Reino Unido),active,International NGO,21,akfuk73,United Kingdom
GB-CHC-1001349,Samaritan's Purse UK,active,International NGO,21,spuk,United Kingdom
GB-CHC-327461,Karuna Trust,active,International NGO,21,karuna,United Kingdom
GB-COH-4887855,HealthProm,active,International NGO,21,hp_12,United Kingdom
GB-CHC-207076,Royal Society for the Protection of Birds,active,International NGO,21,rspb_,United Kingdom
GB-CHC-299717,Send a Cow,active,International NGO,21,sendacow,United Kingdom
GB-CHC-1069208,Trust for Africa's Orphans,active,International NGO,21,tao-03473165,United Kingdom
GB-CHC-283302,Agency for Cooperation and Research in Development (ACORD),active,International NGO,21,acord,United Kingdom
GB-CHC-1068839,Bond,active,National NGO,22,bond,United Kingdom
GB-CHC-291824,Twin,active,International NGO,21,twin-iati,United Kingdom
