code,status,codeforiati:global-code,codeforiati:least-developed-countries,codeforiati:developed-developing,codeforiati:land-locked-developing-countries,codeforiati:iso-alpha-3-code,codeforiati:region-code,codeforiati:intermediate-region-code,codeforiati:sub-region-code,codeforiati:small-island-developing-states,codeforiati:iso-alpha-2-code
012,active,001,0,Developing,0,DZA,002,,015,0,DZ
818,active,001,0,Developing,0,EGY,002,,015,0,EG
434,active,001,0,Developing,0,LBY,002,,015,0,LY
504,active,001,0,Developing,0,MAR,002,,015,0,MA
729,active,001,1,Developing,0,SDN,002,,015,0,SD
788,active,001,0,Developing,0,TUN,002,,015,0,TN
732,active,001,0,Developing,0,ESH,002,,015,0,EH
086,active,001,0,Developing,0,IOT,002,014,202,0,IO
108,active,001,1,Developing,1,BDI,002,014,202,0,BI
174,active,001,1,Developing,0,COM,002,014,202,1,KM
262,active,001,1,Developing,0,DJI,002,014,202,0,DJ
232,active,001,1,Developing,0,ERI,002,014,202,0,ER
231,active,001,1,Developing,1,ETH,002,014,202,0,ET
260,active,001,0,Developing,0,ATF,002,014,202,0,TF
404,active,001,0,Developing,0,KEN,002,014,202,0,KE
450,active,001,1,Developing,0,MDG,002,014,202,0,MG
454,active,001,1,Developing,1,MWI,002,014,202,0,MW
480,active,001,0,Developing,0,MUS,002,014,202,1,MU
175,active,001,0,Developing,0,MYT,002,014,202,0,YT
508,active,001,1,Developing,0,MOZ,002,014,202,0,MZ
638,active,001,0,Developing,0,REU,002,014,202,0,RE
646,active,001,1,Developing,1,RWA,002,014,202,0,RW
690,active,001,0,Developing,0,SYC,002,014,202,1,SC
706,active,001,1,Developing,0,SOM,002,014,202,0,SO
728,active,001,1,Developing,1,SSD,002,014,202,0,SS
800,active,001,1,Developing,1,UGA,002,014,202,0,UG
834,active,001,1,Developing,0,TZA,002,014,202,0,TZ
894,active,001,1,Developing,1,ZMB,002,014,202,0,ZM
716,active,001,0,Developing,1,ZWE,002,014,202,0,ZW
024,active,001,1,Developing,0,AGO,002,017,202,0,AO
120,active,001,0,Developing,0,CMR,002,017,202,0,CM
140,active,001,1,Developing,1,CAF,002,017,202,0,CF
148,active,001,1,Developing,1,TCD,002,017,202,0,TD
178,active,001,0,Developing,0,COG,002,017,202,0,CG
180,active,001,1,Developing,0,COD,002,017,202,0,CD
226,active,001,0,Developing,0,GNQ,002,017,202,0,GQ
266,active,001,0,Developing,0,GAB,002,017,202,0,GA
678,active,001,1,Developing,0,STP,002,017,202,1,ST
072,active,001,0,Developing,1,BWA,002,018,202,0,BW
748,active,001,0,Developing,1,SWZ,002,018,202,0,SZ
426,active,001,1,Developing,1,LSO,002,018,202,0,LS
516,active,001,0,Developing,0,NAM,002,018,202,0,NA
710,active,001,0,Developing,0,ZAF,002,018,202,0,ZA
204,active,001,1,Developing,0,BEN,002,011,202,0,BJ
854,active,001,1,Developing,1,BFA,002,011,202,0,BF
132,active,001,0,Developing,0,CPV,002,011,202,1,CV
384,active,001,0,Developing,0,CIV,002,011,202,0,CI
270,active,001,1,Developing,0,GMB,002,011,202,0,GM
288,active,001,0,Developing,0,GHA,002,011,202,0,GH
324,active,001,1,Developing,0,GIN,002,011,202,0,GN
624,active,001,1,Developing,0,GNB,002,011,202,1,GW
430,active,001,1,Developing,0,LBR,002,011,202,0,LR
466,active,001,1,Developing,1,MLI,002,011,202,0,ML
478,active,001,1,Developing,0,MRT,002,011,202,0,MR
562,active,001,1,Developing,1,NER,002,011,202,0,NE
566,active,001,0,Developing,0,NGA,002,011,202,0,NG
654,active,001,0,Developing,0,SHN,002,011,202,0,SH
686,active,001,1,Developing,0,SEN,002,011,202,0,SN
694,active,001,1,Developing,0,SLE,002,011,202,0,SL
768,active,001,1,Developing,0,TGO,002,011,202,0,TG
660,active,001,0,Developing,0,AIA,019,029,419,1,AI
028,active,001,0,Developing,0,ATG,019,029,419,1,AG
533,active,001,0,Developing,0,ABW,019,029,419,1,AW
044,active,001,0,Developing,0,BHS,019,029,419,1,BS
052,active,001,0,Developing,0,BRB,019,029,419,1,BB
535,active,001,0,Developing,0,BES,019,029,419,1,BQ
092,active,001,0,Developing,0,VGB,019,029,419,1,VG
136,active,001,0,Developing,0,CYM,019,029,419,0,KY
192,active,001,0,Developing,0,CUB,019,029,419,1,CU
531,active,001,0,Developing,0,CUW,019,029,419,1,CW
212,active,001,0,Developing,0,DMA,019,029,419,1,DM
214,active,001,0,Developing,0,DOM,019,029,419,1,DO
308,active,001,0,Developing,0,GRD,019,029,419,1,GD
312,active,001,0,Developing,0,GLP,019,029,419,0,GP
332,active,001,1,Developing,0,HTI,019,029,419,1,HT
388,active,001,0,Developing,0,JAM,019,029,419,1,JM
474,active,001,0,Developing,0,MTQ,019,029,419,0,MQ
500,active,001,0,Developing,0,MSR,019,029,419,1,MS
630,active,001,0,Developing,0,PRI,019,029,419,1,PR
652,active,001,0,Developing,0,BLM,019,029,419,0,BL
659,active,001,0,Developing,0,KNA,019,029,419,1,KN
662,active,001,0,Developing,0,LCA,019,029,419,1,LC
663,active,001,0,Developing,0,MAF,019,029,419,0,MF
670,active,001,0,Developing,0,VCT,019,029,419,1,VC
534,active,001,0,Developing,0,SXM,019,029,419,1,SX
780,active,001,0,Developing,0,TTO,019,029,419,1,TT
796,active,001,0,Developing,0,TCA,019,029,419,0,TC
850,active,001,0,Developing,0,VIR,019,029,419,1,VI
084,active,001,0,Developing,0,BLZ,019,013,419,1,BZ
188,active,001,0,Developing,0,CRI,019,013,419,0,CR
222,active,001,0,Developing,0,SLV,019,013,419,0,SV
320,active,001,0,Developing,0,GTM,019,013,419,0,GT
340,active,001,0,Developing,0,HND,019,013,419,0,HN
484,active,001,0,Developing,0,MEX,019,013,419,0,MX
558,active,001,0,Developing,0,NIC,019,013,419,0,NI
591,active,001,0,Developing,0,PAN,019,013,419,0,PA
032,active,001,0,Developing,0,ARG,019,005,419,0,AR
068,active,001,0,Developing,1,BOL,019,005,419,0,BO
074,active,001,0,Developing,0,BVT,019,005,419,0,BV
076,active,001,0,Developing,0,BRA,019,005,419,0,BR
152,active,001,0,Developing,0,CHL,019,005,419,0,CL
