code,status,codeforiati:iso-alpha-2-code,codeforiati:small-island-developing-states,codeforiati:iso-alpha-3-code,codeforiati:global-code,codeforiati:developed-developing,codeforiati:least-developed-countries,codeforiati:region-code,codeforiati:land-locked-developing-countries,codeforiati:sub-region-code,codeforiati:intermediate-region-code
012,active,DZ,0,DZA,001,Developing,0,002,0,015,
818,active,EG,0,EGY,001,Developing,0,002,0,015,
434,active,LY,0,LBY,001,Developing,0,002,0,015,
504,active,MA,0,MAR,001,Developing,0,002,0,015,
729,active,SD,0,SDN,001,Developing,1,002,0,015,
788,active,TN,0,TUN,001,Developing,0,002,0,015,
732,active,EH,0,ESH,001,Developing,0,002,0,015,
086,active,IO,0,IOT,001,Developing,0,002,0,202,014
108,active,BI,0,BDI,001,Developing,1,002,1,202,014
174,active,KM,1,COM,001,Developing,1,002,0,202,014
262,active,DJ,0,DJI,001,Developing,1,002,0,202,014
232,active,ER,0,ERI,001,Developing,1,002,0,202,014
231,active,ET,0,ETH,001,Developing,1,002,1,202,014
260,active,TF,0,ATF,001,Developing,0,002,0,202,014
404,active,KE,0,KEN,001,Developing,0,002,0,202,014
450,active,MG,0,MDG,001,Developing,1,002,0,202,014
454,active,MW,0,MWI,001,Developing,1,002,1,202,014
480,active,MU,1,MUS,001,Developing,0,002,0,202,014
175,active,YT,0,MYT,001,Developing,0,002,0,202,014
508,active,MZ,0,MOZ,001,Developing,1,002,0,202,014
638,active,RE,0,REU,001,Developing,0,002,0,202,014
646,active,RW,0,RWA,001,Developing,1,002,1,202,014
690,active,SC,1,SYC,001,Developing,0,002,0,202,014
706,active,SO,0,SOM,001,Developing,1,002,0,202,014
728,active,SS,0,SSD,001,Developing,1,002,1,202,014
800,active,UG,0,UGA,001,Developing,1,002,1,202,014
834,active,TZ,0,TZA,001,Developing,1,002,0,202,014
894,active,ZM,0,ZMB,001,Developing,1,002,1,202,014
716,active,ZW,0,ZWE,001,Developing,0,002,1,202,014
024,active,AO,0,AGO,001,Developing,1,002,0,202,017
120,active,CM,0,CMR,001,Developing,0,002,0,202,017
140,active,CF,0,CAF,001,Developing,1,002,1,202,017
148,active,TD,0,TCD,001,Developing,1,002,1,202,017
178,active,CG,0,COG,001,Developing,0,002,0,202,017
180,active,CD,0,COD,001,Developing,1,002,0,202,017
226,active,GQ,0,GNQ,001,Developing,0,002,0,202,017
266,active,GA,0,GAB,001,Developing,0,002,0,202,017
678,active,ST,1,STP,001,Developing,1,002,0,202,017
072,active,BW,0,BWA,001,Developing,0,002,1,202,018
748,active,SZ,0,SWZ,001,Developing,0,002,1,202,018
426,active,LS,0,LSO,001,Developing,1,002,1,202,018
516,active,NA,0,NAM,001,Developing,0,002,0,202,018
710,active,ZA,0,ZAF,001,Developing,0,002,0,202,018
204,active,BJ,0,BEN,001,Developing,1,002,0,202,011
854,active,BF,0,BFA,001,Developing,1,002,1,202,011
132,active,CV,1,CPV,001,Developing,0,002,0,202,011
