code,name,status,codeforiati:group-code,codeforiati:group-name,codeforiati:category-code,codeforiati:category-name
11110,Política e gestão administrativa da educação,active,110,Educação,111,"Educação, nível não especificado"
11120,Instalações de educação e formação,active,110,Educação,111,"Educação, nível não especificado"
11130,Formação de professores,active,110,Educação,111,"Educação, nível não especificado"
11182,Investigação educativa,active,110,Educação,111,"Educação, nível não especificado"
11220,Ensino primário,active,110,Educação,112,Ensino básico
11230,Competências básicas de vida para adultos,active,110,Educação,112,Ensino básico
11231,Competências básicas de vida para jovens,active,110,Educação,112,Ensino básico
11232,Ensino primário equivalente para adultos,active,110,Educação,112,Ensino básico
11240,Educação na primeira infância,active,110,Educação,112,Ensino básico
11250,Alimentação escolar,active,110,Educação,112,Ensino básico
11260,Primeiro ciclo do ensino secundário,active,110,Educação,112,Ensino básico
11320,Segundo ciclo do ensino secundário (modificado e inclui dados do 11322),active,110,Educação,113,Ensino secundário
11330,Formação profissional,active,110,Educação,113,Ensino secundário
11420,Ensino superior,active,110,Educação,114,Ensino pós-secundário
11430,Formação técnica e de gestão avançada,active,110,Educação,114,Ensino pós-secundário
12110,Política e gestão administrativa da saúde,active,120,Saúde,121,"Saúde, geral"
12181,Educação/formação médica,active,120,Saúde,121,"Saúde, geral"
12182,Investigação médica,active,120,Saúde,121,"Saúde, geral"
12191,Serviços médicos,active,120,Saúde,121,"Saúde, geral"
12220,Cuidados de saúde básica,active,120,Saúde,122,Saúde básica
12230,Infraestruturas básicas de saúde,active,120,Saúde,122,Saúde básica
12240,Nutrição Básica,active,120,Saúde,122,Saúde básica
12250,Controle de doenças infecciosas,active,120,Saúde,122,Saúde básica
12261,Educação sanitária,active,120,Saúde,122,Saúde básica
12262,Controle da malária,active,120,Saúde,122,Saúde básica
12263,Controle da tuberculose,active,120,Saúde,122,Saúde básica
12264,,active,120,Saúde,122,Saúde básica
12281,Desenvolvimento do pessoal de saúde,active,120,Saúde,122,Saúde básica
12310,"Controle de DNT, geral",active,120,Saúde,123,Doenças não transmissíveis (DNT)
12320,Controle do tabagismo,active,120,Saúde,123,Doenças não transmissíveis (DNT)
12330,Controle do consumo nocivo de bebidas alcoólicas e drogas,active,120,Saúde,123,Doenças não transmissíveis (DNT)
12340,Promoção da saúde mental e do bem-estar,active,120,Saúde,123,Doenças não transmissíveis (DNT)
12350,Outros meios de prevenção e tratamento de DNT,active,120,Saúde,123,Doenças não transmissíveis (DNT)
12382,Investigação para prevenção e controle de DNT,active,120,Saúde,123,Doenças não transmissíveis (DNT)
13010,Política e gestão administrativa da população,active,130,Políticas/programas populacionais e saúde reprodutiva,130,Políticas/programas populacionais e saúde reprodutiva
13020,Cuidados para a saúde reprodutiva,active,130,Políticas/programas populacionais e saúde reprodutiva,130,Políticas/programas populacionais e saúde reprodutiva
13030,Planejamento familiar,active,130,Políticas/programas populacionais e saúde reprodutiva,130,Políticas/programas populacionais e saúde reprodutiva
13040,"Controle de DST, incluindo o HIV/AIDS",active,130,Políticas/programas populacionais e saúde reprodutiva,130,Políticas/programas populacionais e saúde reprodutiva
13081,Desenvolvimento de pessoal para a população e a saúde reprodutiva,active,130,Políticas/programas populacionais e saúde reprodutiva,130,Políticas/programas populacionais e saúde reprodutiva
14010,Política e gestão administrativa do setor da água,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14015,Conservação de recursos hídricos (incluindo recolha de dados),active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14020,Abastecimento de água e saneamento – sistemas de grande escala,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14021,Abastecimento de água – sistemas de grande escala,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14022,Saneamento – sistemas de grande escala,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14030,Abastecimento básico de água potável e saneamento básico,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14031,Abastecimento básico de água potável,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14032,Saneamento básico,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14040,Desenvolvimento de bacias fluviais,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14050,Gestão/escoamento da água,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
14081,Educação e formação sobre abastecimento de água e saneamento,active,140,Abastecimento de água e saneamento,140,Abastecimento de água e saneamento
15110,Política e gestão administrativa do setor público,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15111,Gestão das finanças públicas (GFP),active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15112,Descentralização e apoio à administração pública subnacional,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15113,Organizações e instituições de combate à corrupção,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15114,Mobilização de receitas internas,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15125,Contratação pública,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15130,Desenvolvimento jurídico e judicial,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15142,Política macroeconómica,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15150,Participação democrática e sociedade civil,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15151,Eleições,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15152,Legislaturas e partidos políticos,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15153,Meios de comunicação e livre circulação da informação,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15160,Direitos humanos,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15170,"Organizações, movimentos e instituições governamentais de direitos da mulher",active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15180,Erradicação da violência contra as mulheres e raparigas,active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15190,"Facilitação da migração e da mobilidade ordenadas, seguras, regulares e responsáveis",active,150,Governo e sociedade civil,151,"Governo e sociedade civil, geral"
15210,Gestão e reforma do sistema de segurança,active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
15220,"Consolidação da paz civil, prevenção e resolução de conflitos",active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
15230,Participação em operações internacionais de consolidação da paz,active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
15240,Reintegração e controle de armas leves e de pequeno calibre,active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
15250,Remoção de minas terrestres e explosivos remanescentes de guerra,active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
15261,Crianças-soldado (prevenção e desmobilização),active,150,Governo e sociedade civil,152,"Conflitos, paz e segurança"
16010,Proteção social,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16020,Criação de emprego,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16030,Política e gestão administrativa da habitação,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16040,Habitação de baixo custo,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16050,Ajuda multissetorial para serviços sociais básicos,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16061,Cultura e lazer,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16062,Reforço da capacidade estatística,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16063,Controle de narcóticos,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16064,Mitigação social do HIV/AIDS,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16070,Direitos laborais,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
16080,Diálogo social,active,160,Outros serviços e infraestruturas sociais,160,Outros serviços e infraestruturas sociais
21010,Política e gestão administrativa dos transportes,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21020,Transporte rodoviário,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21030,Transporte ferroviário,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21040,Transporte hidroviário,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21050,Transporte aéreo,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21061,Armazenamento,active,210,Transportes e armazenamento,210,Transportes e armazenamento
21081,Educação e formação sobre transporte e armazenamento,active,210,Transportes e armazenamento,210,Transportes e armazenamento
22010,Política e gestão administrativa das comunicações,active,220,Comunicações,220,Comunicações
22020,Telecomunicações,active,220,Comunicações,220,Comunicações
22030,Rádio/televisão/imprensa escrita,active,220,Comunicações,220,Comunicações
22040,Tecnologias de informação e comunicação (TIC),active,220,Comunicações,220,Comunicações
23110,Política e gestão administrativa da energia,active,230,Energia,231,Política energética
23181,Educação/formação sobre energia,active,230,Energia,231,Política energética
23182,Investigação sobre energia,active,230,Energia,231,Política energética
23183,Conservação de energia e eficiência do lado da procura,active,230,Energia,231,Política energética
23210,"Geração de energia, fontes renováveis ​​– várias tecnologias",active,230,Energia,232,"Geração de energia, fontes renováveis"
23220,Centrais de energia hidroelétricas,active,230,Energia,232,"Geração de energia, fontes renováveis"
23230,Energia solar para redes centralizadas,active,230,Energia,232,"Geração de energia, fontes renováveis"
23231,Energia solar para redes isoladas e sistemas autônomos,active,230,Energia,232,"Geração de energia, fontes renováveis"
23232,Energia solar – aplicações térmicas,active,230,Energia,232,"Geração de energia, fontes renováveis"
23240,Energia eólica,active,230,Energia,232,"Geração de energia, fontes renováveis"
23250,Energia marítima,active,230,Energia,232,"Geração de energia, fontes renováveis"
23260,Energia geotérmica,active,230,Energia,232,"Geração de energia, fontes renováveis"
23270,Centrais de energia elétricas alimentadas a biocombustível,active,230,Energia,232,"Geração de energia, fontes renováveis"
