code,status,codeforiati:developed-developing,codeforiati:small-island-developing-states,codeforiati:sub-region-code,codeforiati:region-code,codeforiati:iso-alpha-3-code,codeforiati:intermediate-region-code,codeforiati:global-code,codeforiati:least-developed-countries,codeforiati:land-locked-developing-countries,codeforiati:iso-alpha-2-code
012,active,Developing,0,015,002,DZA,,001,0,0,DZ
818,active,Developing,0,015,002,EGY,,001,0,0,EG
434,active,Developing,0,015,002,LBY,,001,0,0,LY
504,active,Developing,0,015,002,MAR,,001,0,0,MA
729,active,Developing,0,015,002,SDN,,001,1,0,SD
788,active,Developing,0,015,002,TUN,,001,0,0,TN
732,active,Developing,0,015,002,ESH,,001,0,0,EH
086,active,Developing,0,202,002,IOT,014,001,0,0,IO
108,active,Developing,0,202,002,BDI,014,001,1,1,BI
174,active,Developing,1,202,002,COM,014,001,1,0,KM
262,active,Developing,0,202,002,DJI,014,001,1,0,DJ
232,active,Developing,0,202,002,ERI,014,001,1,0,ER
231,active,Developing,0,202,002,ETH,014,001,1,1,ET
260,active,Developing,0,202,002,ATF,014,001,0,0,TF
404,active,Developing,0,202,002,KEN,014,001,0,0,KE
450,active,Developing,0,202,002,MDG,014,001,1,0,MG
454,active,Developing,0,202,002,MWI,014,001,1,1,MW
480,active,Developing,1,202,002,MUS,014,001,0,0,MU
175,active,Developing,0,202,002,MYT,014,001,0,0,YT
508,active,Developing,0,202,002,MOZ,014,001,1,0,MZ
638,active,Developing,0,202,002,REU,014,001,0,0,RE
646,active,Developing,0,202,002,RWA,014,001,1,1,RW
690,active,Developing,1,202,002,SYC,014,001,0,0,SC
706,active,Developing,0,202,002,SOM,014,001,1,0,SO
728,active,Developing,0,202,002,SSD,014,001,1,1,SS
800,active,Developing,0,202,002,UGA,014,001,1,1,UG
834,active,Developing,0,202,002,TZA,014,001,1,0,TZ
894,active,Developing,0,202,002,ZMB,014,001,1,1,ZM
716,active,Developing,0,202,002,ZWE,014,001,0,1,ZW
024,active,Developing,0,202,002,AGO,017,001,1,0,AO
120,active,Developing,0,202,002,CMR,017,001,0,0,CM
140,active,Developing,0,202,002,CAF,017,001,1,1,CF
148,active,Developing,0,202,002,TCD,017,001,1,1,TD
178,active,Developing,0,202,002,COG,017,001,0,0,CG
180,active,Developing,0,202,002,COD,017,001,1,0,CD
226,active,Developing,0,202,002,GNQ,017,001,0,0,GQ
266,active,Developing,0,202,002,GAB,017,001,0,0,GA
678,active,Developing,1,202,002,STP,017,001,1,0,ST
072,active,Developing,0,202,002,BWA,018,001,0,1,BW
748,active,Developing,0,202,002,SWZ,018,001,0,1,SZ
426,active,Developing,0,202,002,LSO,018,001,1,1,LS
516,active,Developing,0,202,002,NAM,018,001,0,0,NA
710,active,Developing,0,202,002,ZAF,018,001,0,0,ZA
204,active,Developing,0,202,002,BEN,011,001,1,0,BJ
854,active,Developing,0,202,002,BFA,011,001,1,1,BF
132,active,Developing,1,202,002,CPV,011,001,0,0,CV
384,active,Developing,0,202,002,CIV,011,001,0,0,CI
270,active,Developing,0,202,002,GMB,011,001,1,0,GM
288,active,Developing,0,202,002,GHA,011,001,0,0,GH
324,active,Developing,0,202,002,GIN,011,001,1,0,GN
624,active,Developing,1,202,002,GNB,011,001,1,0,GW
430,active,Developing,0,202,002,LBR,011,001,1,0,LR
466,active,Developing,0,202,002,MLI,011,001,1,1,ML
478,active,Developing,0,202,002,MRT,011,001,1,0,MR
562,active,Developing,0,202,002,NER,011,001,1,1,NE
566,active,Developing,0,202,002,NGA,011,001,0,0,NG
654,active,Developing,0,202,002,SHN,011,001,0,0,SH
686,active,Developing,0,202,002,SEN,011,001,1,0,SN
694,active,Developing,0,202,002,SLE,011,001,1,0,SL
768,active,Developing,0,202,002,TGO,011,001,1,0,TG
660,active,Developing,1,419,019,AIA,029,001,0,0,AI
028,active,Developing,1,419,019,ATG,029,001,0,0,AG
533,active,Developing,1,419,019,ABW,029,001,0,0,AW
044,active,Developing,1,419,019,BHS,029,001,0,0,BS
052,active,Developing,1,419,019,BRB,029,001,0,0,BB
535,active,Developing,1,419,019,BES,029,001,0,0,BQ
092,active,Developing,1,419,019,VGB,029,001,0,0,VG
136,active,Developing,0,419,019,CYM,029,001,0,0,KY
192,active,Developing,1,419,019,CUB,029,001,0,0,CU
531,active,Developing,1,419,019,CUW,029,001,0,0,CW
212,active,Developing,1,419,019,DMA,029,001,0,0,DM
214,active,Developing,1,419,019,DOM,029,001,0,0,DO
308,active,Developing,1,419,019,GRD,029,001,0,0,GD
312,active,Developing,0,419,019,GLP,029,001,0,0,GP
