code,name,status,codeforiati:category-code,codeforiati:group-code,codeforiati:group-name,codeforiati:category-name
11110,Gestión administrativa y políticas de la educación,active,111,110,Educación,"Educación, nivel no especificado"
11120,Instalaciones educativas y capacitación,active,111,110,Educación,"Educación, nivel no especificado"
11130,Capacitación de docentes,active,111,110,Educación,"Educación, nivel no especificado"
11182,Investigación educativa,active,111,110,Educación,"Educación, nivel no especificado"
11220,Educación primaria,active,112,110,Educación,Educación básica
11230,Competencias básicas para la vida dirigidas a adultos,active,112,110,Educación,Educación básica
11231,Competencias básicas para la vida dirigidas a jóvenes,active,112,110,Educación,Educación básica
11232,Equivalente a la educación primaria para adultos,active,112,110,Educación,Educación básica
11240,Educación de la primera infancia,active,112,110,Educación,Educación básica
11250,Alimentación escolar,active,112,110,Educación,Educación básica
11260,Educación secundaria inferior,active,112,110,Educación,Educación básica
11320,"Educación secundaria superior (modificada, incluye datos de 11322)",active,113,110,Educación,Educación secundaria
11330,Capacitación profesional,active,113,110,Educación,Educación secundaria
11420,Educación superior,active,114,110,Educación,Educación post-secundaria
11430,Capacitación técnica y administrativa avanzada,active,114,110,Educación,Educación post-secundaria
12110,Gestión administrativa y políticas de la salud,active,121,120,Salud,"Salud, general"
12181,Educación o capacitación médica,active,121,120,Salud,"Salud, general"
12182,Investigación médica,active,121,120,Salud,"Salud, general"
12191,Servicios médicos,active,121,120,Salud,"Salud, general"
12220,Atención sanitaria básica,active,122,120,Salud,Salud básica
12230,Infraestructura de la salud básica,active,122,120,Salud,Salud básica
12240,Nutrición básica,active,122,120,Salud,Salud básica
12250,Lucha contra las enfermedades infecciosas,active,122,120,Salud,Salud básica
12261,Educación sanitaria,active,122,120,Salud,Salud básica
12262,Lucha contra el paludismo,active,122,120,Salud,Salud básica
12263,Lucha contra tuberculosis,active,122,120,Salud,Salud básica
12264,,active,122,120,Salud,Salud básica
12281,Desarrollo del personal sanitario,active,122,120,Salud,Salud básica
12310,"Lucha contra enfermedades no transmisibles, general",active,123,120,Salud,Enfermedades no transmisibles
12320,Lucha contra el tabaquismo,active,123,120,Salud,Enfermedades no transmisibles
12330,Lucha contra el consumo nocivo de alcohol y drogas,active,123,120,Salud,Enfermedades no transmisibles
12340,Fomento de la salud y el bienestar mentales,active,123,120,Salud,Enfermedades no transmisibles
12350,Otro tipo de prevenciones y tratamientos de enfermedades no transmisibles,active,123,120,Salud,Enfermedades no transmisibles
12382,Investigación en prevención de y lucha contra enfermedades no transmisibles,active,123,120,Salud,Enfermedades no transmisibles
13010,Gestión administrativa y políticas en materia demográfica,active,130,130,Programas/políticas sobre población y salud reproductiva,Programas/políticas sobre población y salud reproductiva
13020,Atención de la salud reproductiva,active,130,130,Programas/políticas sobre población y salud reproductiva,Programas/políticas sobre población y salud reproductiva
13030,Planificación familiar,active,130,130,Programas/políticas sobre población y salud reproductiva,Programas/políticas sobre población y salud reproductiva
13040,"Lucha contra enfermedades de transmisión sexual, incluido el VIH/sida",active,130,130,Programas/políticas sobre población y salud reproductiva,Programas/políticas sobre población y salud reproductiva
13081,Desarrollo del personal de salud reproductiva y de la población,active,130,130,Programas/políticas sobre población y salud reproductiva,Programas/políticas sobre población y salud reproductiva
14010,Gestión administrativa y políticas del sector del agua,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14015,Conservación de los recursos hídricos (incluida la recogida de datos),active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14020,Abastecimiento de agua y saneamiento: grandes sistemas,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14021,Abastecimiento de agua: grandes sistemas,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14022,Saneamiento: grandes sistemas,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14030,Abastecimiento de agua potable y saneamiento básicos,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14031,Abastecimiento básico de agua potable,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14032,Saneamiento básico,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14040,Desarrollo de cuencas fluviales,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14050,Gestión y eliminación de residuos,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
14081,Educación y formación en abastecimiento de agua y saneamiento,active,140,140,Abastecimiento de agua y saneamiento,Abastecimiento de agua y saneamiento
15110,Gestión administrativa y políticas del sector público,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15111,Gestión financiera pública (GFP),active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15112,Descentralización y apoyo a gobiernos subnacionales,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15113,Instituciones y organizaciones contra la corrupción,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15114,Movilización de los ingresos nacionales,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15125,Contratación pública,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15130,Desarrollo jurídico y judicial,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15142,Políticas macroeconómicas,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15150,Participación democrática y sociedad civil,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15151,Elecciones,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15152,Órganos legislativos y partidos políticos,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15153,Medios de comunicación y libre circulación de la información,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15160,Derechos humanos,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15170,"Organizaciones y movimientos, e instituciones gubernamentales, en defensa de los derechos de la mujer",active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15180,Eliminación de la violencia contra las mujeres y las niñas,active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15190,"Facilitación de la migración y la movilidad de forma ordenada, segura, regular y responsable",active,151,150,Gobierno y sociedad civil,"Gobierno y sociedad civil, general"
15210,Gestión y reforma del sistema de seguridad,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15220,Capacidad civil de prevención y resolución de conflictos y de consolidación de la paz,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15230,Participación en operaciones internacionales de mantenimiento de la paz,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15240,Reintegración y control de armas pequeñas y armas ligeras (APAL),active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15250,Remoción de minas terrestres y restos explosivos de guerra,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
