code,status,codeforiati:iso-alpha-3-code,codeforiati:land-locked-developing-countries,codeforiati:developed-developing,codeforiati:intermediate-region-code,codeforiati:least-developed-countries,codeforiati:iso-alpha-2-code,codeforiati:global-code,codeforiati:small-island-developing-states,codeforiati:sub-region-code,codeforiati:region-code
012,active,DZA,0,Developing,,0,DZ,001,0,015,002
818,active,EGY,0,Developing,,0,EG,001,0,015,002
434,active,LBY,0,Developing,,0,LY,001,0,015,002
504,active,MAR,0,Developing,,0,MA,001,0,015,002
729,active,SDN,0,Developing,,1,SD,001,0,015,002
788,active,TUN,0,Developing,,0,TN,001,0,015,002
732,active,ESH,0,Developing,,0,EH,001,0,015,002
086,active,IOT,0,Developing,014,0,IO,001,0,202,002
108,active,BDI,1,Developing,014,1,BI,001,0,202,002
174,active,COM,0,Developing,014,1,KM,001,1,202,002
262,active,DJI,0,Developing,014,1,DJ,001,0,202,002
232,active,ERI,0,Developing,014,1,ER,001,0,202,002
231,active,ETH,1,Developing,014,1,ET,001,0,202,002
260,active,ATF,0,Developing,014,0,TF,001,0,202,002
404,active,KEN,0,Developing,014,0,KE,001,0,202,002
450,active,MDG,0,Developing,014,1,MG,001,0,202,002
454,active,MWI,1,Developing,014,1,MW,001,0,202,002
480,active,MUS,0,Developing,014,0,MU,001,1,202,002
175,active,MYT,0,Developing,014,0,YT,001,0,202,002
508,active,MOZ,0,Developing,014,1,MZ,001,0,202,002
638,active,REU,0,Developing,014,0,RE,001,0,202,002
646,active,RWA,1,Developing,014,1,RW,001,0,202,002
690,active,SYC,0,Developing,014,0,SC,001,1,202,002
706,active,SOM,0,Developing,014,1,SO,001,0,202,002
728,active,SSD,1,Developing,014,1,SS,001,0,202,002
800,active,UGA,1,Developing,014,1,UG,001,0,202,002
834,active,TZA,0,Developing,014,1,TZ,001,0,202,002
894,active,ZMB,1,Developing,014,1,ZM,001,0,202,002
716,active,ZWE,1,Developing,014,0,ZW,001,0,202,002
024,active,AGO,0,Developing,017,1,AO,001,0,202,002
120,active,CMR,0,Developing,017,0,CM,001,0,202,002
140,active,CAF,1,Developing,017,1,CF,001,0,202,002
148,active,TCD,1,Developing,017,1,TD,001,0,202,002
178,active,COG,0,Developing,017,0,CG,001,0,202,002
180,active,COD,0,Developing,017,1,CD,001,0,202,002
226,active,GNQ,0,Developing,017,0,GQ,001,0,202,002
266,active,GAB,0,Developing,017,0,GA,001,0,202,002
678,active,STP,0,Developing,017,1,ST,001,1,202,002
072,active,BWA,1,Developing,018,0,BW,001,0,202,002
748,active,SWZ,1,Developing,018,0,SZ,001,0,202,002
426,active,LSO,1,Developing,018,1,LS,001,0,202,002
516,active,NAM,0,Developing,018,0,NA,001,0,202,002
710,active,ZAF,0,Developing,018,0,ZA,001,0,202,002
204,active,BEN,0,Developing,011,1,BJ,001,0,202,002
854,active,BFA,1,Developing,011,1,BF,001,0,202,002
132,active,CPV,0,Developing,011,0,CV,001,1,202,002
384,active,CIV,0,Developing,011,0,CI,001,0,202,002
270,active,GMB,0,Developing,011,1,GM,001,0,202,002
288,active,GHA,0,Developing,011,0,GH,001,0,202,002
324,active,GIN,0,Developing,011,1,GN,001,0,202,002
624,active,GNB,0,Developing,011,1,GW,001,1,202,002
430,active,LBR,0,Developing,011,1,LR,001,0,202,002
466,active,MLI,1,Developing,011,1,ML,001,0,202,002
478,active,MRT,0,Developing,011,1,MR,001,0,202,002
562,active,NER,1,Developing,011,1,NE,001,0,202,002
566,active,NGA,0,Developing,011,0,NG,001,0,202,002
654,active,SHN,0,Developing,011,0,SH,001,0,202,002
686,active,SEN,0,Developing,011,1,SN,001,0,202,002
694,active,SLE,0,Developing,011,1,SL,001,0,202,002
768,active,TGO,0,Developing,011,1,TG,001,0,202,002
660,active,AIA,0,Developing,029,0,AI,001,1,419,019
028,active,ATG,0,Developing,029,0,AG,001,1,419,019
533,active,ABW,0,Developing,029,0,AW,001,1,419,019
044,active,BHS,0,Developing,029,0,BS,001,1,419,019
052,active,BRB,0,Developing,029,0,BB,001,1,419,019
535,active,BES,0,Developing,029,0,BQ,001,1,419,019
092,active,VGB,0,Developing,029,0,VG,001,1,419,019
136,active,CYM,0,Developing,029,0,KY,001,0,419,019
192,active,CUB,0,Developing,029,0,CU,001,1,419,019
531,active,CUW,0,Developing,029,0,CW,001,1,419,019
212,active,DMA,0,Developing,029,0,DM,001,1,419,019
214,active,DOM,0,Developing,029,0,DO,001,1,419,019
308,active,GRD,0,Developing,029,0,GD,001,1,419,019
312,active,GLP,0,Developing,029,0,GP,001,0,419,019
332,active,HTI,0,Developing,029,1,HT,001,1,419,019
388,active,JAM,0,Developing,029,0,JM,001,1,419,019
474,active,MTQ,0,Developing,029,0,MQ,001,0,419,019
500,active,MSR,0,Developing,029,0,MS,001,1,419,019
630,active,PRI,0,Developing,029,0,PR,001,1,419,019
652,active,BLM,0,Developing,029,0,BL,001,0,419,019
659,active,KNA,0,Developing,029,0,KN,001,1,419,019
662,active,LCA,0,Developing,029,0,LC,001,1,419,019
663,active,MAF,0,Developing,029,0,MF,001,0,419,019
670,active,VCT,0,Developing,029,0,VC,001,1,419,019
534,active,SXM,0,Developing,029,0,SX,001,1,419,019
780,active,TTO,0,Developing,029,0,TT,001,1,419,019
796,active,TCA,0,Developing,029,0,TC,001,0,419,019
850,active,VIR,0,Developing,029,0,VI,001,1,419,019
084,active,BLZ,0,Developing,013,0,BZ,001,1,419,019
188,active,CRI,0,Developing,013,0,CR,001,0,419,019
222,active,SLV,0,Developing,013,0,SV,001,0,419,019
320,active,GTM,0,Developing,013,0,GT,001,0,419,019
340,active,HND,0,Developing,013,0,HN,001,0,419,019
484,active,MEX,0,Developing,013,0,MX,001,0,419,019
558,active,NIC,0,Developing,013,0,NI,001,0,419,019
591,active,PAN,0,Developing,013,0,PA,001,0,419,019
032,active,ARG,0,Developing,005,0,AR,001,0,419,019
068,active,BOL,1,Developing,005,0,BO,001,0,419,019
074,active,BVT,0,Developing,005,0,BV,001,0,419,019
076,active,BRA,0,Developing,005,0,BR,001,0,419,019
152,active,CHL,0,Developing,005,0,CL,001,0,419,019
170,active,COL,0,Developing,005,0,CO,001,0,419,019
218,active,ECU,0,Developing,005,0,EC,001,0,419,019
238,active,FLK,0,Developing,005,0,FK,001,0,419,019
254,active,GUF,0,Developing,005,0,GF,001,0,419,019
328,active,GUY,0,Developing,005,0,GY,001,1,419,019
600,active,PRY,1,Developing,005,0,PY,001,0,419,019
604,active,PER,0,Developing,005,0,PE,001,0,419,019
239,active,SGS,0,Developing,005,0,GS,001,0,419,019
740,active,SUR,0,Developing,005,0,SR,001,1,419,019
858,active,URY,0,Developing,005,0,UY,001,0,419,019
862,active,VEN,0,Developing,005,0,VE,001,0,419,019
060,active,BMU,0,Developed,,0,BM,001,0,021,019
124,active,CAN,0,Developed,,0,CA,001,0,021,019
304,active,GRL,0,Developed,,0,GL,001,0,021,019
666,active,SPM,0,Developed,,0,PM,001,0,021,019
840,active,USA,0,Developed,,0,US,001,0,021,019
010,active,ATA,0,,,0,AQ,001,0,,
398,active,KAZ,1,Developing,,0,KZ,001,0,143,142
417,active,KGZ,1,Developing,,0,KG,001,0,143,142
762,active,TJK,1,Developing,,0,TJ,001,0,143,142
795,active,TKM,1,Developing,,0,TM,001,0,143,142
860,active,UZB,1,Developing,,0,UZ,001,0,143,142
156,active,CHN,0,Developing,,0,CN,001,0,030,142
344,active,HKG,0,Developing,,0,HK,001,0,030,142
446,active,MAC,0,Developing,,0,MO,001,0,030,142
408,active,PRK,0,Developing,,0,KP,001,0,030,142
392,active,JPN,0,Developed,,0,JP,001,0,030,142
496,active,MNG,1,Developing,,0,MN,001,0,030,142
410,active,KOR,0,Developing,,0,KR,001,0,030,142
096,active,BRN,0,Developing,,0,BN,001,0,035,142
116,active,KHM,0,Developing,,1,KH,001,0,035,142
360,active,IDN,0,Developing,,0,ID,001,0,035,142
418,active,LAO,1,Developing,,1,LA,001,0,035,142
458,active,MYS,0,Developing,,0,MY,001,0,035,142
104,active,MMR,0,Developing,,1,MM,001,0,035,142
608,active,PHL,0,Developing,,0,PH,001,0,035,142
702,active,SGP,0,Developing,,0,SG,001,1,035,142
764,active,THA,0,Developing,,0,TH,001,0,035,142
626,active,TLS,0,Developing,,1,TL,001,1,035,142
704,active,VNM,0,Developing,,0,VN,001,0,035,142
004,active,AFG,1,Developing,,1,AF,001,0,034,142
050,active,BGD,0,Developing,,1,BD,001,0,034,142
064,active,BTN,1,Developing,,1,BT,001,0,034,142
356,active,IND,0,Developing,,0,IN,001,0,034,142
364,active,IRN,0,Developing,,0,IR,001,0,034,142
462,active,MDV,0,Developing,,0,MV,001,1,034,142
524,active,NPL,1,Developing,,1,NP,001,0,034,142
586,active,PAK,0,Developing,,0,PK,001,0,034,142
144,active,LKA,0,Developing,,0,LK,001,0,034,142
051,active,ARM,1,Developing,,0,AM,001,0,145,142
031,active,AZE,1,Developing,,0,AZ,001,0,145,142
048,active,BHR,0,Developing,,0,BH,001,0,145,142
196,active,CYP,0,Developed,,0,CY,001,0,145,142
268,active,GEO,0,Developing,,0,GE,001,0,145,142
368,active,IRQ,0,Developing,,0,IQ,001,0,145,142
376,active,ISR,0,Developed,,0,IL,001,0,145,142
400,active,JOR,0,Developing,,0,JO,001,0,145,142
414,active,KWT,0,Developing,,0,KW,001,0,145,142
422,active,LBN,0,Developing,,0,LB,001,0,145,142
