code,name,url,status
4,Emergency Shelter and NFI,https://www.sheltercluster.org/,active
1,Camp Coordination / Management,http://www.globalcccmcluster.org,active
5406,Mine Action,http://www.globalprotectioncluster.org/en/areas-of-responsibility/mine-action.html,active
6,Food Security,http://foodsecuritycluster.net/,active
11,Water Sanitation Hygiene,http://washcluster.net/,active
8,Logistics,http://www.logcluster.org/,active
5403,Child Protection,http://cpwg.net/,active
10,Protection,http://www.globalprotectioncluster.org/,active
3,Education,http://educationcluster.net/,active
9,Nutrition,http://nutritioncluster.net/,active
7,Health,http://www.who.int/health-cluster/en/,active
2,Early Recovery,http://earlyrecovery.global/,active
5,Emergency Telecommunications,https://www.etcluster.org/,active
5404,Gender Based Violence,http://gbvaor.net/,active
5405,"Housing, Land and Property",http://www.globalprotectioncluster.org/en/areas-of-responsibility/housing-land-and-property.html,active
