code,name,status,codeforiati:group-name,codeforiati:group-code
BE-BCE_KBO-0264814354,Belgian development agency (Enabel),active,Belgium,BE
XM-DAC-2-10,Belgian Development Cooperation,active,Belgium,BE
CA-3,Canada - Global Affairs Canada | Affaires mondiales Canada,active,Canada,CA
CA-4,Canada Department of Finance / Ministère des Finances Canada,active,Canada,CA
DE-1,Germany - Ministry for Economic Cooperation and Development,active,Germany,DE
XI-IATI-IKI,International Climate Initiative / BMU - IKI Secretariat,active,Germany,DE
XM-DAC-5-52,Germany GIZ Non BMZ,active,Germany,DE
XM-DAC-5-7,Germany - Federal Foreign Office,active,Germany,DE
XI-IATI-EC_ECHO,European Commission - Humanitarian Aid & Civil Protection,active,European Commission,EC
XI-IATI-EC_INTPA,European Commission - International Partnerships,active,European Commission,EC
XI-IATI-EC_NEAR,European Commission - Neighbourhood and Enlargement Negotiations,active,European Commission,EC
ES-DIR3-E04585801,Spain - Ministry of Foreign Affairs and Cooperation,active,Spain,ES
XM-DAC-50-21,Spanish Agency for International Development Cooperation (AECID),active,Spain,ES
FR-3,Agence Française de Développement,active,France,FR
FR-6,France - Ministry for Europe and Foreign Affairs,active,France,FR
GB-GOV-GB-9,UK - Department for Work and Pensions,active,United Kingdom,GB
GB-GOV-9,UK - Department for Work and Pensions,withdrawn,United Kingdom,GB
GB-9,UK - Department for Work and Pensions,withdrawn,United Kingdom,GB
GB-COH-RC000346,UK - Medical Research Council,active,United Kingdom,GB
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",active,United Kingdom,GB
GB-GOV-10,UK - Department of Health and Social Care (DHSC),active,United Kingdom,GB
GB-GOV-12,"UK - Department for Digital, Culture, Media and Sport",active,United Kingdom,GB
GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",active,United Kingdom,GB
GB-GOV-14,UK – Department for Education,active,United Kingdom,GB
GB-GOV-15,Department for International Trade,active,United Kingdom,GB
GB-GOV-2,HM Treasury,active,United Kingdom,GB
GB-GOV-21,UK - Scottish Government,active,United Kingdom,GB
GB-GOV-24,Office for National Statistics,active,United Kingdom,GB
GB-GOV-50,Cross-Government Prosperity Fund,active,United Kingdom,GB
GB-GOV-52,"Conflict, Stability and Security Fund",active,United Kingdom,GB
GB-GOV-6,UK - Home Office,active,United Kingdom,GB
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",active,United Kingdom,GB
GB-GOV-8,UK - Ministry of Defence,active,United Kingdom,GB
XM-DAC-701-2,Ministry of Foreign Affairs of Japan,active,Japan,JP
XM-DAC-701-8,Japan International Cooperation Agency (JICA),active,Japan,JP
NL-KVK-08215619-201210000,Kadaster International,withdrawn,Netherlands,NL
NL-KVK-27367015,Netherlands Organisation for Scientific Research (NWO),withdrawn,Netherlands,NL
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),withdrawn,Netherlands,NL
NL-KVK-30276595,Koninklijk Nederlands Meteorologisch Instituut,withdrawn,Netherlands,NL
XM-DAC-7,Netherlands - Ministry of Foreign Affairs,withdrawn,Netherlands,NL
NL-KVK-27078545,FMO,withdrawn,Netherlands,NL
41120,UN-Habitat,active,United Nations,UN
41AAA,United Nations Office for Project Services (UNOPS),active,United Nations,UN
XI-IATI-OCHASDC,United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),active,United Nations,UN
XI-IATI-UNPF,UN Pooled Funds,active,United Nations,UN
XM-DAC-30010,UNITAID,active,United Nations,UN
XM-DAC-41108,International Fund for Agricultural Development (IFAD),active,United Nations,UN
XM-DAC-41110,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),active,United Nations,UN
XM-DAC-41111,United Nations Capital Development Fund,active,United Nations,UN
XM-DAC-41114,United Nations Development Programme (UNDP),active,United Nations,UN
XM-DAC-41116,United Nations Environment Programme (UNEP),active,United Nations,UN
XM-DAC-41119,United Nations Population Fund,active,United Nations,UN
XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),active,United Nations,UN
XM-DAC-41122,United Nations Children's Fund (UNICEF),active,United Nations,UN
XM-DAC-41123,United Nations Industrial Development Organization (UNIDO),active,United Nations,UN
XM-DAC-41127,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),active,United Nations,UN
XM-DAC-41130,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),active,United Nations,UN
XM-DAC-41140,United Nations World Food Programme (WFP),active,United Nations,UN
XM-DAC-41146,UN Women,active,United Nations,UN
XM-DAC-41149,United Nations Development Coordination Office,active,United Nations,UN
XM-DAC-41301,Food and Agriculture Organization of the United Nations (FAO),active,United Nations,UN
XM-DAC-41302,International Labour Organization (ILO),active,United Nations,UN
XM-DAC-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",active,United Nations,UN
XM-DAC-45001,International Trade Centre (ITC),active,United Nations,UN
XM-DAC-47066,International Organization for Migration (IOM),active,United Nations,UN
XM-DAC-928,World Health Organization (WHO),active,United Nations,UN
XM-OCHA-CERF,United Nations Central Emergency Response Fund (CERF),active,United Nations,UN
US-GOV-18,Millennium Challenge Corporation,active,United States,US
US-18,Millennium Challenge Corporation,withdrawn,United States,US
US-GOV-1,United States Agency for International Development (USAID),active,United States,US
US-GOV-10,Peace Corp,active,United States,US
US-GOV-11,Department of State,active,United States,US
US-GOV-12,U.S. Trade and Development Agency,active,United States,US
US-GOV-13-ADF,African Development Foundation,active,United States,US
US-GOV-14,U.S. Health and Human Services,active,United States,US
US-GOV-15,U.S Department of Justice,active,United States,US
US-GOV-16,U.S. Department of Commerce,active,United States,US
US-GOV-17,U.S. Department of Labor,active,United States,US
US-GOV-19,U.S. Department of Homeland Security,active,United States,US
US-GOV-2,U.S. Department of Agriculture,active,United States,US
US-GOV-20,U.S. Department of Energy,active,United States,US
US-GOV-21,Inter-American Foundation,active,United States,US
US-GOV-22,U.S. International Development Finance Corporation,active,United States,US
US-GOV-26,U.S. Department of Transportation,active,United States,US
US-GOV-32,U.S. Environmental Protection Agency,active,United States,US
US-GOV-6,U.S. Department of the Treasury,active,United States,US
US-GOV-7,U.S. Department of Defense,active,United States,US
US-GOV-9,U.S. Department of Interior,active,United States,US
US-GOV-TBD,U.S. Federal Trade Commission,active,United States,US
US-USAGOV,United States,withdrawn,United States,US
44000,The World Bank,active,World Bank Group,WB
XI-IATI-WBTF,World Bank Trust Funds,active,World Bank Group,WB
XM-DAC-903,International Finance Corporation,active,World Bank Group,WB
