code,name,category,status
1,INB: ingreso nacional bruto,0,active
110,Donación estándar,100,active
1100,Garantías o seguros,1000,active
111,Subsidios a inversores privados nacionales,100,withdrawn
2,Asistencia oficial para el desarrollo en porcentaje del INB,0,active
210,Subvención de los intereses,100,active
211,Subvención de los intereses a exportadores privados nacionales,100,withdrawn
3,Flujos totales en porcentaje del INB,0,active
310,Suscripción de capital en régimen de depósito,100,active
311,Suscripción de capital en régimen de conversión en efectivo,100,active
4,Población,0,active
410,Asistencia mediante préstamo sin reorganización de la deuda,400,withdrawn
411,Préstamo relativo a la inversión a países en desarrollo,400,withdrawn
412,Préstamo en una operación conjunta con el beneficiario,400,withdrawn
413,Préstamo a inversionista privado nacional,400,withdrawn
414,Préstamo a exportador privado nacional,400,withdrawn
421,Préstamo estándar,420,active
422,Donación reembolsable,420,active
423,Bonos,420,active
424,Bonos de titulización de activos,420,active
425,Otros títulos de deuda,420,active
431,Préstamos subordinados,430,active
432,Capital preferente,430,active
433,Otros instrumentos híbridos,430,active
451,Créditos a la exportación con garantía no bancaria,450,withdrawn
452,Porciones sin garantía no bancaria de los créditos a la exportación con garantía,400,withdrawn
453,Créditos bancarios a la exportación,400,withdrawn
510,Capital común,500,active
511,Adquisición de capital que no es parte de una operación conjunta en países en desarrollo,500,withdrawn
512,Otras adquisiciones de capital,500,withdrawn
520,Acciones en vehículos de inversión colectiva,500,active
530,Utilidades reinvertidas,500,active
610,Condonación de la deuda: Títulos de asistencia oficial para el desarrollo (C),600,active
611,Condonación de la deuda: Títulos de asistencia oficial para el desarrollo (I),600,active
612,Condonación de la deuda: Títulos de otras corrientes oficiales (C),600,active
613,Condonación de la deuda: Títulos de otras corrientes oficiales (I),600,active
614,Condonación de la deuda: Títulos privados (C),600,active
615,Condonación de la deuda: Títulos privados (I),600,active
616,Condonación de la deuda: Títulos de otras corrientes oficiales (ratio del servicio de la deuda),600,active
617,Condonación de la deuda: Títulos privados (ratio del servicio de la deuda),600,active
618,Condonación de la deuda: Otros,600,active
620,Reprogramación de la deuda: Títulos de asistencia oficial para el desarrollo (C),600,active
621,Reprogramación de la deuda: Títulos de asistencia oficial para el desarrollo (I),600,active
622,Reprogramación de la deuda: Títulos de otras corrientes oficiales (C),600,active
623,Reprogramación de la deuda: Títulos de otras corrientes oficiales (I),600,active
624,Reprogramación de la deuda: Títulos privados (C),600,active
625,Reprogramación de la deuda: Títulos privados (I),600,active
626,Reprogramación de la deuda: Títulos de otras corrientes oficiales (ratio del servicio de la deuda),600,active
627,Reprogramación de la deuda: Títulos privados (ratio del servicio de la deuda),600,active
630,Reprogramación de la deuda: Título de otras corrientes oficiales (ratio del servicio de la deuda: capital principal del préstamo original),600,active
631,Reprogramación de la deuda: Títulos de otras corrientes oficiales (ratio del servicio de la deuda: interés del préstamo original),600,active
632,Reprogramación de la deuda: Título privado (ratio del servicio de la deuda: capital principal del préstamo original),600,active
633,Condonación o conversión de la deuda: derechos de crédito a la exportación (C),600,active
634,Condonación o conversión de la deuda: derechos de crédito a la exportación (I),600,active
635,Condonación de la deuda: derechos de crédito a la exportación (ratio del servicio de la deuda),600,active
636,Reprogramación de la deuda: derechos de crédito a la exportación (C),600,active
637,Reprogramación de la deuda: derechos de crédito a la exportación (I),600,active
638,Reprogramación de la deuda: derechos de crédito a la exportación (ratio del servicio de la deuda),600,active
639,Reprogramación de la deuda: títulos de crédito a la exportación (ratio del servicio de la deuda: capital principal del préstamo original),600,active
710,"Inversión extranjera directa, nueva salida de capitales (incluidas las utilidades reinvertidas si no se dispone de identificación independiente)",700,withdrawn
711,"Otras inversiones extranjeras directas, incluidas las utilidades reinvertidas",700,withdrawn
712,"Inversión extranjera directa, utilidades reinvertidas",700,withdrawn
810,Bonos bancarios,800,withdrawn
811,Bonos no bancarios,800,withdrawn
910,Otras garantías o créditos bancarios,900,withdrawn
911,Otras garantías o créditos no bancarios,900,withdrawn
912,Adquisición de títulos de organismos emisores,900,withdrawn
913,Títulos y otros instrumentos emitidos originalmente por organismos multilaterales,900,withdrawn
