code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
AU-5,Australia: Ministerio de Asuntos Exteriores y Comercio,active,10,Australia,Government,ausgov
44000,El Banco Mundial,active,40,(No country assigned),Multilateral,worldbank
US-EIN-941655673,Fundación William y Flora Hewlett,active,60,United States,Foundation,hewlett-foundation
41AAA,Oficina de las Naciones Unidas de Servicios para Proyectos (UNOPS),active,40,(No country assigned),Multilateral,unops
GB-CHC-1038860,Frontline AIDS,active,21,United Kingdom,International NGO,f-aids
XI-IATI-EC_INTPA,Comisión Europea: Asociaciones Internacionales,active,15,(No country assigned),Other Public Sector,ec-intpa
XI-IATI-EC_DEVCO,Comisión Europea: Cooperación Internacional y Desarrollo,withdrawn,15,(No country assigned),Other Public Sector,ec-devco
SE-0,"Suecia, a través de la Agencia Sueca de Cooperación Internacional para el Desarrollo (ASDI)",active,10,Sweden,Government,sida
CA-CRA-89980-1815-RR0001,Engineers Without Borders Canada,active,21,Canada,International NGO,ewb_canada
XM-DAC-41114,Programa de las Naciones Unidas para el Desarrollo (PNUD),active,40,(No country assigned),Multilateral,undp
GB-CHC-1075920,Indigo Trust,active,60,United Kingdom,Foundation,indtrust
GB-CHC-202918,Oxfam GB,active,21,United Kingdom,International NGO,oxfamgb
FI-3,Finlandia: Ministerio de Asuntos Exteriores,active,10,Finland,Government,finland_mfa
IE-CHY-6663,Self Help Africa,active,21,Ireland,International NGO,self-help-africa
47045,"Fondo Mundial de Lucha contra el Sida, la Tuberculosis y la Malaria",active,40,Switzerland,Multilateral,theglobalfund
XM-DAC-46004,Banco Asiático de Desarrollo,active,40,(No country assigned),Multilateral,asdb
46004,Banco Asiático de Desarrollo,withdrawn,40,(No country assigned),Multilateral,asdb
GB-COH-07676886,Publish What You Fund,active,21,United Kingdom,International NGO,pwyf
NO-BRC-977538319,Consejo Noruego para los Refugiados,active,21,Norway,International NGO,nrc
NL-KVK-41213450,SPARK,active,21,Netherlands,International NGO,spark
XM-DAC-3-1,"Dinamarca: Ministerio de Asuntos Exteriores, Agencia Danesa de Desarrollo Internacional (DANIDA)",active,10,Denmark,Government,danida
