code,status,codeforiati:small-island-developing-states,codeforiati:sub-region-code,codeforiati:least-developed-countries,codeforiati:intermediate-region-code,codeforiati:developed-developing,codeforiati:iso-alpha-3-code,codeforiati:region-code,codeforiati:iso-alpha-2-code,codeforiati:global-code,codeforiati:land-locked-developing-countries
012,active,0,015,0,,Developing,DZA,002,DZ,001,0
818,active,0,015,0,,Developing,EGY,002,EG,001,0
434,active,0,015,0,,Developing,LBY,002,LY,001,0
504,active,0,015,0,,Developing,MAR,002,MA,001,0
729,active,0,015,1,,Developing,SDN,002,SD,001,0
788,active,0,015,0,,Developing,TUN,002,TN,001,0
732,active,0,015,0,,Developing,ESH,002,EH,001,0
086,active,0,202,0,014,Developing,IOT,002,IO,001,0
108,active,0,202,1,014,Developing,BDI,002,BI,001,1
174,active,1,202,1,014,Developing,COM,002,KM,001,0
262,active,0,202,1,014,Developing,DJI,002,DJ,001,0
232,active,0,202,1,014,Developing,ERI,002,ER,001,0
231,active,0,202,1,014,Developing,ETH,002,ET,001,1
260,active,0,202,0,014,Developing,ATF,002,TF,001,0
404,active,0,202,0,014,Developing,KEN,002,KE,001,0
450,active,0,202,1,014,Developing,MDG,002,MG,001,0
454,active,0,202,1,014,Developing,MWI,002,MW,001,1
480,active,1,202,0,014,Developing,MUS,002,MU,001,0
175,active,0,202,0,014,Developing,MYT,002,YT,001,0
508,active,0,202,1,014,Developing,MOZ,002,MZ,001,0
638,active,0,202,0,014,Developing,REU,002,RE,001,0
646,active,0,202,1,014,Developing,RWA,002,RW,001,1
690,active,1,202,0,014,Developing,SYC,002,SC,001,0
706,active,0,202,1,014,Developing,SOM,002,SO,001,0
728,active,0,202,1,014,Developing,SSD,002,SS,001,1
800,active,0,202,1,014,Developing,UGA,002,UG,001,1
834,active,0,202,1,014,Developing,TZA,002,TZ,001,0
894,active,0,202,1,014,Developing,ZMB,002,ZM,001,1
716,active,0,202,0,014,Developing,ZWE,002,ZW,001,1
024,active,0,202,1,017,Developing,AGO,002,AO,001,0
120,active,0,202,0,017,Developing,CMR,002,CM,001,0
140,active,0,202,1,017,Developing,CAF,002,CF,001,1
148,active,0,202,1,017,Developing,TCD,002,TD,001,1
178,active,0,202,0,017,Developing,COG,002,CG,001,0
180,active,0,202,1,017,Developing,COD,002,CD,001,0
226,active,0,202,0,017,Developing,GNQ,002,GQ,001,0
266,active,0,202,0,017,Developing,GAB,002,GA,001,0
678,active,1,202,1,017,Developing,STP,002,ST,001,0
072,active,0,202,0,018,Developing,BWA,002,BW,001,1
748,active,0,202,0,018,Developing,SWZ,002,SZ,001,1
426,active,0,202,1,018,Developing,LSO,002,LS,001,1
516,active,0,202,0,018,Developing,NAM,002,NA,001,0
710,active,0,202,0,018,Developing,ZAF,002,ZA,001,0
204,active,0,202,1,011,Developing,BEN,002,BJ,001,0
854,active,0,202,1,011,Developing,BFA,002,BF,001,1
132,active,1,202,0,011,Developing,CPV,002,CV,001,0
384,active,0,202,0,011,Developing,CIV,002,CI,001,0
270,active,0,202,1,011,Developing,GMB,002,GM,001,0
288,active,0,202,0,011,Developing,GHA,002,GH,001,0
324,active,0,202,1,011,Developing,GIN,002,GN,001,0
624,active,1,202,1,011,Developing,GNB,002,GW,001,0
430,active,0,202,1,011,Developing,LBR,002,LR,001,0
466,active,0,202,1,011,Developing,MLI,002,ML,001,1
478,active,0,202,1,011,Developing,MRT,002,MR,001,0
562,active,0,202,1,011,Developing,NER,002,NE,001,1
566,active,0,202,0,011,Developing,NGA,002,NG,001,0
654,active,0,202,0,011,Developing,SHN,002,SH,001,0
686,active,0,202,1,011,Developing,SEN,002,SN,001,0
694,active,0,202,1,011,Developing,SLE,002,SL,001,0
768,active,0,202,1,011,Developing,TGO,002,TG,001,0
660,active,1,419,0,029,Developing,AIA,019,AI,001,0
028,active,1,419,0,029,Developing,ATG,019,AG,001,0
533,active,1,419,0,029,Developing,ABW,019,AW,001,0
044,active,1,419,0,029,Developing,BHS,019,BS,001,0
052,active,1,419,0,029,Developing,BRB,019,BB,001,0
535,active,1,419,0,029,Developing,BES,019,BQ,001,0
092,active,1,419,0,029,Developing,VGB,019,VG,001,0
136,active,0,419,0,029,Developing,CYM,019,KY,001,0
192,active,1,419,0,029,Developing,CUB,019,CU,001,0
531,active,1,419,0,029,Developing,CUW,019,CW,001,0
212,active,1,419,0,029,Developing,DMA,019,DM,001,0
214,active,1,419,0,029,Developing,DOM,019,DO,001,0
308,active,1,419,0,029,Developing,GRD,019,GD,001,0
312,active,0,419,0,029,Developing,GLP,019,GP,001,0
332,active,1,419,1,029,Developing,HTI,019,HT,001,0
388,active,1,419,0,029,Developing,JAM,019,JM,001,0
474,active,0,419,0,029,Developing,MTQ,019,MQ,001,0
500,active,1,419,0,029,Developing,MSR,019,MS,001,0
630,active,1,419,0,029,Developing,PRI,019,PR,001,0
652,active,0,419,0,029,Developing,BLM,019,BL,001,0
659,active,1,419,0,029,Developing,KNA,019,KN,001,0
662,active,1,419,0,029,Developing,LCA,019,LC,001,0
663,active,0,419,0,029,Developing,MAF,019,MF,001,0
670,active,1,419,0,029,Developing,VCT,019,VC,001,0
534,active,1,419,0,029,Developing,SXM,019,SX,001,0
780,active,1,419,0,029,Developing,TTO,019,TT,001,0
796,active,0,419,0,029,Developing,TCA,019,TC,001,0
850,active,1,419,0,029,Developing,VIR,019,VI,001,0
084,active,1,419,0,013,Developing,BLZ,019,BZ,001,0
188,active,0,419,0,013,Developing,CRI,019,CR,001,0
