code,name,status
88,Estados sin especificar de la ex-Yugoslavia,active
89,"Europa, regional",active
189,"Norte del Sáhara, regional",active
289,"Sur del Sáhara, regional",active
298,"África, regional",active
380,"Indias Occidentales, regional",withdrawn
389,"El Caribe y América Central, regional",active
489,"América del Sur, regional",active
498,"América, regional",active
589,"Oriente Medio, regional",active
619,"Asia Central, regional",active
679,"Asia Meridional, regional",active
689,"Asia Meridional y Central, regional",active
789,"El Lejano Oriente y Asia, regional",active
798,"Asia, regional",active
889,"Oceanía, regional",active
998,"Países en desarrollo, sin especificar",active
1027,"África Oriental, regional",active
1028,"Oriente Medio y África, regional",active
1029,"África Meridional, regional",active
1030,"África Occidental, regional",active
1031,"El Caribe, regional",active
1032,"América Central, regional",active
1033,"Melanesia, regional",active
1034,"Micronesia, regional",active
1035,"Polinesia, regional",active
