code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
AU-5,active,ausgov,10,Government,Australia
44000,active,worldbank,40,Multilateral,(No country assigned)
US-EIN-941655673,active,hewlett-foundation,60,Foundation,United States
41AAA,active,unops,40,Multilateral,(No country assigned)
GB-CHC-1038860,active,f-aids,21,International NGO,United Kingdom
XI-IATI-EC_INTPA,active,ec-intpa,15,Other Public Sector,(No country assigned)
XI-IATI-EC_DEVCO,withdrawn,ec-devco,15,Other Public Sector,(No country assigned)
SE-0,active,sida,10,Government,Sweden
CA-CRA-89980-1815-RR0001,active,ewb_canada,21,International NGO,Canada
XM-DAC-41114,active,undp,40,Multilateral,(No country assigned)
GB-CHC-1075920,active,indtrust,60,Foundation,United Kingdom
GB-CHC-202918,active,oxfamgb,21,International NGO,United Kingdom
FI-3,active,finland_mfa,10,Government,Finland
IE-CHY-6663,active,self-help-africa,21,International NGO,Ireland
47045,active,theglobalfund,40,Multilateral,Switzerland
XM-DAC-46004,active,asdb,40,Multilateral,(No country assigned)
46004,withdrawn,asdb,40,Multilateral,(No country assigned)
GB-COH-07676886,active,pwyf,21,International NGO,United Kingdom
NO-BRC-977538319,active,nrc,21,International NGO,Norway
NL-KVK-41213450,active,spark,21,International NGO,Netherlands
XM-DAC-3-1,active,danida,10,Government,Denmark
GB-CHC-285776,active,cafod,21,International NGO,United Kingdom
47122,active,gavi,30,Public Private Partnership,Switzerland
US-EIN-300108263,active,globalgiving,21,International NGO,United States
GB-CHC-1029161,active,camfed,21,International NGO,United Kingdom
GB-CHC-291691,active,allwecan,21,International NGO,United Kingdom
GB-CHC-1074937,active,adrauk,21,International NGO,United Kingdom
GB-CHC-1017255,active,hi,21,International NGO,United Kingdom
GB-COH-4905100,active,rem,21,International NGO,United Kingdom
NP-CRO-45995/063/064,active,yipl,80,"Academic, Training and Research",Nepal
GB-CHC-327421,active,art19,21,International NGO,United Kingdom
GB-CHC-328434,active,childhopeuk,21,International NGO,United Kingdom
GB-CHC-1092236,active,concernuk,21,International NGO,United Kingdom
GB-COH-4075590,active,lead_international,21,International NGO,United Kingdom
XM-DAC-21033,active,transparency-international,21,International NGO,Germany
GB-CHC-1141028,active,afrikids,21,International NGO,United Kingdom
GB-CHC-1089879,active,evc,21,International NGO,United Kingdom
GB-CHC-1126727,active,mapaction,21,International NGO,United Kingdom
GB-CHC-254781,active,theict,21,International NGO,United Kingdom
GB-COH-NI21482,active,troc,21,International NGO,United Kingdom
GB-CHC-1001698,active,iww_publish,21,International NGO,United Kingdom
GB-CHC-1837621,active,hpa,21,International NGO,United Kingdom
GB-CHC-313139,active,aet,21,International NGO,United Kingdom
GB-CHC-800672,active,livingearth12,21,International NGO,United Kingdom
GB-COH-0277068,active,ffi_publisher,21,International NGO,United Kingdom
GB-CHC-1020488,active,cic,21,International NGO,United Kingdom
GB-CHC-1090745,active,icauk,22,National NGO,United Kingdom
GB-CHC-298316,active,buildafrica,21,International NGO,United Kingdom
GB-CHC-265464,active,tearfund,21,International NGO,United Kingdom
GB-CHC-208724,active,waronwant,21,International NGO,United Kingdom
GB-COH-06587734,active,icn,21,International NGO,United Kingdom
GB-COH-2082273,active,wacc-uk,21,International NGO,United Kingdom
GB-CHC-1064413,active,ai_1064413,21,International NGO,United Kingdom
GB-COH-05322719,active,opportunity-international-uk,21,International NGO,United Kingdom
GB-SC-SC030289,active,mce,21,International NGO,United Kingdom
GB-COH-1100897,active,akfuk73,21,International NGO,United Kingdom
GB-CHC-1001349,active,spuk,21,International NGO,United Kingdom
GB-CHC-327461,active,karuna,21,International NGO,United Kingdom
GB-COH-4887855,active,hp_12,21,International NGO,United Kingdom
GB-CHC-207076,active,rspb_,21,International NGO,United Kingdom
GB-CHC-299717,active,sendacow,21,International NGO,United Kingdom
GB-CHC-1069208,active,tao-03473165,21,International NGO,United Kingdom
GB-CHC-283302,active,acord,21,International NGO,United Kingdom
GB-CHC-1068839,active,bond,22,National NGO,United Kingdom
GB-CHC-291824,active,twin-iati,21,International NGO,United Kingdom
GB-CHC-1059996,active,power,21,International NGO,United Kingdom
GB-CHC-1102028,active,canoncollinstrust,21,International NGO,United Kingdom
GB-COH-5419428,active,wsup,30,Public Private Partnership,United Kingdom
GB-COH-03877777,active,cdc,15,Other Public Sector,United Kingdom
GB-CHC-328206,active,womankindworld,21,International NGO,United Kingdom
GB-CHC-281681,active,foe_ewni,22,National NGO,United Kingdom
GB-CHC-272465,active,cu,21,International NGO,United Kingdom
GB-CHC-1125948,active,pont,21,International NGO,United Kingdom
GB-CHC-1138287,active,rfuk,21,International NGO,United Kingdom
41120,active,unhabitat,40,Multilateral,(No country assigned)
GB-COH-04154075,active,pri,21,International NGO,United Kingdom
GB-CHC-288701,active,wateraid,21,International NGO,United Kingdom
GB-CHC-291167,active,jeevika_trust,21,International NGO,United Kingdom
GB-CHC-313757,active,vso,21,International NGO,United Kingdom
GB-COH-1364201,active,plan_uk,21,International NGO,United Kingdom
21032,active,psi,21,International NGO,United States
GB-COH-213890,active,scuk,21,International NGO,United Kingdom
NL-KVK-41198677,active,stichting_hivos,21,International NGO,Netherlands
ZA-NPO-061-870,active,sacbc,23,Regional NGO,South Africa
CH-FDJP-CHE-110347351,active,gain,21,International NGO,Switzerland
30001,withdrawn,,21,International NGO,Switzerland
GB-CHC-1127206,active,si,21,International NGO,United Kingdom
GB-CHC-1055436,active,cr,21,International NGO,United Kingdom
GB-CHC-1115482,active,bracuk,21,International NGO,United Kingdom
ZA-CIPC-2001/005850/08,active,gl,23,Regional NGO,South Africa
GB-CHC-218186,active,lcd_admin,21,International NGO,United Kingdom
GB-COH-3008440,active,fm,21,International NGO,United Kingdom
GB-COH-2100867,active,sossaheluk,21,International NGO,United Kingdom
GB-CHC-1065705,active,surf,21,International NGO,United Kingdom
GB-CHC-1122924,active,diltuk,21,International NGO,United Kingdom
GB-CHC-292506,active,ciuk,21,International NGO,United Kingdom
GB-CHC-328158,active,irw,21,International NGO,United Kingdom
GB-CHC-229476,active,ippf,21,International NGO,United Kingdom
GB-CHC-326568,active,cprojects,60,Foundation,United Kingdom
XM-DAC-41111,active,uncdf,40,Multilateral,United States
NL-CCI-20081098,active,bracintl,21,International NGO,Netherlands
GB-CHC-1098106,active,ri-uk,21,International NGO,United Kingdom
GB-CHC-1071886,active,tbalert,21,International NGO,United Kingdom
XM-DAC-41146,active,unw,40,Multilateral,(No country assigned)
TZ-BRE-63966,active,twaweza,23,Regional NGO,"Tanzania, United Republic of"
GB-CHC-1104287,active,mlf,21,International NGO,United Kingdom
GB-CHC-1152010,active,ctc,21,International NGO,United Kingdom
GB-CHC-1105851,active,caid,21,International NGO,United Kingdom
GB-CHC-1139083,active,growmovement_admin,80,"Academic, Training and Research",United Kingdom
GB-CHC-1079358,active,motivation,21,International NGO,United Kingdom
US-EIN-27-5026293,active,drf,21,International NGO,United States
US-USAGOV,active,unitedstates,10,Government,United States
GB-CHC-1081247,active,wwf-uk,21,International NGO,United Kingdom
GB-COH-1102208,active,msi,21,International NGO,United Kingdom
GB-CHC-207544,active,ss-org,21,International NGO,United Kingdom
GB-COH-03788027,active,tripleline_crownagents,70,Private Sector,United Kingdom
GB-CHC-1058991,active,rc,21,International NGO,United Kingdom
GB-CHC-1140123,active,vfan,21,International NGO,United Kingdom
21-PK-WWF,active,wwfpakistan,21,International NGO,Pakistan
NL-KVK-27264198,active,aai,21,International NGO,Netherlands
XI-IATI-IADB,active,iadb,40,Multilateral,(No country assigned)
GB-CHC-327519,active,zet,21,International NGO,United Kingdom
GB-COH-871954,active,pa,21,International NGO,United Kingdom
GB-CHC-1127488,active,restless,21,International NGO,United Kingdom
GB-COH-2153193,active,international-alert,21,International NGO,United Kingdom
DE-1,active,bmz,10,Government,Germany
GB-CHC-1099776,active,malariaconsortium,21,International NGO,United Kingdom
GB-CHC-1078768,active,peopleinaid,21,International NGO,United Kingdom
47135,active,cif,40,Multilateral,"Bilateral, unspecified"
IN-,active,mamta_himc,22,National NGO,India
ciks,active,ciks,80,"Academic, Training and Research",India
GB-CHC-1070684,active,cord,23,Regional NGO,United Kingdom
GB-GOV-6,active,homeoffice,10,Government,United Kingdom
US-EIN-13-2702768,active,pact,21,International NGO,United States
GB-CHC-1071659,active,wcuk,21,International NGO,United Kingdom
GB-CHC-1107403,active,goal,21,International NGO,Ireland
GB-COH-3578127,active,eti,21,International NGO,United Kingdom
GPAF-IMP-031,active,dapp,22,National NGO,Malawi
XM-DAC-41122,active,unicef,40,Multilateral,(No country assigned)
US-IRS-562339052,active,cda,21,International NGO,United States
SL-NRA-1001562-8,active,mrc-sierra-leone,22,National NGO,Sierra Leone
GB-SC-SC035314,active,sinda,23,Regional NGO,United Kingdom
XM-DAC-41140,active,wfp,40,Multilateral,Italy
BE-BCE_KBO-0462279234,active,acodev,22,National NGO,Belgium
IE-CHY-6410,active,dochas,22,National NGO,Ireland
GB-COH-01926828,active,fa,21,International NGO,United Kingdom
IN-AR-775,active,pragya,22,National NGO,India
GB-CHC-1109789,active,ycare,21,International NGO,United Kingdom
GB-CHC-1115109,active,wfwiuk,21,International NGO,United Kingdom
GB-CHC-274467,active,aauk,21,International NGO,United Kingdom
NG-CAC-5938,active,arfh,22,National NGO,Nigeria
46002,active,afdb,40,Multilateral,(No country assigned)
NL-KVK-27327087,active,akvo,21,International NGO,Netherlands
GB-CHC-1043843,active,saferworld,21,International NGO,United Kingdom
