code,status,codeforiati:sub-region-code,codeforiati:least-developed-countries,codeforiati:land-locked-developing-countries,codeforiati:iso-alpha-2-code,codeforiati:global-code,codeforiati:iso-alpha-3-code,codeforiati:small-island-developing-states,codeforiati:developed-developing,codeforiati:intermediate-region-code,codeforiati:region-code
012,active,015,0,0,DZ,001,DZA,0,Developing,,002
818,active,015,0,0,EG,001,EGY,0,Developing,,002
434,active,015,0,0,LY,001,LBY,0,Developing,,002
504,active,015,0,0,MA,001,MAR,0,Developing,,002
729,active,015,1,0,SD,001,SDN,0,Developing,,002
788,active,015,0,0,TN,001,TUN,0,Developing,,002
732,active,015,0,0,EH,001,ESH,0,Developing,,002
086,active,202,0,0,IO,001,IOT,0,Developing,014,002
108,active,202,1,1,BI,001,BDI,0,Developing,014,002
174,active,202,1,0,KM,001,COM,1,Developing,014,002
262,active,202,1,0,DJ,001,DJI,0,Developing,014,002
232,active,202,1,0,ER,001,ERI,0,Developing,014,002
231,active,202,1,1,ET,001,ETH,0,Developing,014,002
260,active,202,0,0,TF,001,ATF,0,Developing,014,002
404,active,202,0,0,KE,001,KEN,0,Developing,014,002
450,active,202,1,0,MG,001,MDG,0,Developing,014,002
454,active,202,1,1,MW,001,MWI,0,Developing,014,002
480,active,202,0,0,MU,001,MUS,1,Developing,014,002
175,active,202,0,0,YT,001,MYT,0,Developing,014,002
508,active,202,1,0,MZ,001,MOZ,0,Developing,014,002
638,active,202,0,0,RE,001,REU,0,Developing,014,002
646,active,202,1,1,RW,001,RWA,0,Developing,014,002
690,active,202,0,0,SC,001,SYC,1,Developing,014,002
706,active,202,1,0,SO,001,SOM,0,Developing,014,002
728,active,202,1,1,SS,001,SSD,0,Developing,014,002
800,active,202,1,1,UG,001,UGA,0,Developing,014,002
834,active,202,1,0,TZ,001,TZA,0,Developing,014,002
894,active,202,1,1,ZM,001,ZMB,0,Developing,014,002
716,active,202,0,1,ZW,001,ZWE,0,Developing,014,002
024,active,202,1,0,AO,001,AGO,0,Developing,017,002
120,active,202,0,0,CM,001,CMR,0,Developing,017,002
140,active,202,1,1,CF,001,CAF,0,Developing,017,002
148,active,202,1,1,TD,001,TCD,0,Developing,017,002
178,active,202,0,0,CG,001,COG,0,Developing,017,002
180,active,202,1,0,CD,001,COD,0,Developing,017,002
226,active,202,0,0,GQ,001,GNQ,0,Developing,017,002
266,active,202,0,0,GA,001,GAB,0,Developing,017,002
678,active,202,1,0,ST,001,STP,1,Developing,017,002
072,active,202,0,1,BW,001,BWA,0,Developing,018,002
748,active,202,0,1,SZ,001,SWZ,0,Developing,018,002
426,active,202,1,1,LS,001,LSO,0,Developing,018,002
516,active,202,0,0,NA,001,NAM,0,Developing,018,002
710,active,202,0,0,ZA,001,ZAF,0,Developing,018,002
204,active,202,1,0,BJ,001,BEN,0,Developing,011,002
854,active,202,1,1,BF,001,BFA,0,Developing,011,002
132,active,202,0,0,CV,001,CPV,1,Developing,011,002
384,active,202,0,0,CI,001,CIV,0,Developing,011,002
270,active,202,1,0,GM,001,GMB,0,Developing,011,002
288,active,202,0,0,GH,001,GHA,0,Developing,011,002
324,active,202,1,0,GN,001,GIN,0,Developing,011,002
624,active,202,1,0,GW,001,GNB,1,Developing,011,002
430,active,202,1,0,LR,001,LBR,0,Developing,011,002
466,active,202,1,1,ML,001,MLI,0,Developing,011,002
478,active,202,1,0,MR,001,MRT,0,Developing,011,002
562,active,202,1,1,NE,001,NER,0,Developing,011,002
566,active,202,0,0,NG,001,NGA,0,Developing,011,002
654,active,202,0,0,SH,001,SHN,0,Developing,011,002
686,active,202,1,0,SN,001,SEN,0,Developing,011,002
694,active,202,1,0,SL,001,SLE,0,Developing,011,002
768,active,202,1,0,TG,001,TGO,0,Developing,011,002
660,active,419,0,0,AI,001,AIA,1,Developing,029,019
028,active,419,0,0,AG,001,ATG,1,Developing,029,019
533,active,419,0,0,AW,001,ABW,1,Developing,029,019
044,active,419,0,0,BS,001,BHS,1,Developing,029,019
052,active,419,0,0,BB,001,BRB,1,Developing,029,019
535,active,419,0,0,BQ,001,BES,1,Developing,029,019
