code,status,codeforiati:developed-developing,codeforiati:intermediate-region-code,codeforiati:least-developed-countries,codeforiati:region-code,codeforiati:global-code,codeforiati:sub-region-code,codeforiati:land-locked-developing-countries,codeforiati:iso-alpha-3-code,codeforiati:small-island-developing-states,codeforiati:iso-alpha-2-code
012,active,Developing,,0,002,001,015,0,DZA,0,DZ
818,active,Developing,,0,002,001,015,0,EGY,0,EG
434,active,Developing,,0,002,001,015,0,LBY,0,LY
504,active,Developing,,0,002,001,015,0,MAR,0,MA
729,active,Developing,,1,002,001,015,0,SDN,0,SD
788,active,Developing,,0,002,001,015,0,TUN,0,TN
732,active,Developing,,0,002,001,015,0,ESH,0,EH
086,active,Developing,014,0,002,001,202,0,IOT,0,IO
108,active,Developing,014,1,002,001,202,1,BDI,0,BI
174,active,Developing,014,1,002,001,202,0,COM,1,KM
262,active,Developing,014,1,002,001,202,0,DJI,0,DJ
232,active,Developing,014,1,002,001,202,0,ERI,0,ER
231,active,Developing,014,1,002,001,202,1,ETH,0,ET
260,active,Developing,014,0,002,001,202,0,ATF,0,TF
404,active,Developing,014,0,002,001,202,0,KEN,0,KE
450,active,Developing,014,1,002,001,202,0,MDG,0,MG
454,active,Developing,014,1,002,001,202,1,MWI,0,MW
480,active,Developing,014,0,002,001,202,0,MUS,1,MU
175,active,Developing,014,0,002,001,202,0,MYT,0,YT
508,active,Developing,014,1,002,001,202,0,MOZ,0,MZ
638,active,Developing,014,0,002,001,202,0,REU,0,RE
646,active,Developing,014,1,002,001,202,1,RWA,0,RW
690,active,Developing,014,0,002,001,202,0,SYC,1,SC
706,active,Developing,014,1,002,001,202,0,SOM,0,SO
728,active,Developing,014,1,002,001,202,1,SSD,0,SS
800,active,Developing,014,1,002,001,202,1,UGA,0,UG
834,active,Developing,014,1,002,001,202,0,TZA,0,TZ
894,active,Developing,014,1,002,001,202,1,ZMB,0,ZM
716,active,Developing,014,0,002,001,202,1,ZWE,0,ZW
024,active,Developing,017,1,002,001,202,0,AGO,0,AO
120,active,Developing,017,0,002,001,202,0,CMR,0,CM
140,active,Developing,017,1,002,001,202,1,CAF,0,CF
148,active,Developing,017,1,002,001,202,1,TCD,0,TD
178,active,Developing,017,0,002,001,202,0,COG,0,CG
180,active,Developing,017,1,002,001,202,0,COD,0,CD
226,active,Developing,017,0,002,001,202,0,GNQ,0,GQ
266,active,Developing,017,0,002,001,202,0,GAB,0,GA
678,active,Developing,017,1,002,001,202,0,STP,1,ST
072,active,Developing,018,0,002,001,202,1,BWA,0,BW
748,active,Developing,018,0,002,001,202,1,SWZ,0,SZ
426,active,Developing,018,1,002,001,202,1,LSO,0,LS
516,active,Developing,018,0,002,001,202,0,NAM,0,NA
710,active,Developing,018,0,002,001,202,0,ZAF,0,ZA
204,active,Developing,011,1,002,001,202,0,BEN,0,BJ
854,active,Developing,011,1,002,001,202,1,BFA,0,BF
132,active,Developing,011,0,002,001,202,0,CPV,1,CV
384,active,Developing,011,0,002,001,202,0,CIV,0,CI
270,active,Developing,011,1,002,001,202,0,GMB,0,GM
288,active,Developing,011,0,002,001,202,0,GHA,0,GH
324,active,Developing,011,1,002,001,202,0,GIN,0,GN
