code,status,codeforiati:sub-region-code,codeforiati:region-code,codeforiati:intermediate-region-code,codeforiati:iso-alpha-2-code,codeforiati:least-developed-countries,codeforiati:iso-alpha-3-code,codeforiati:global-code,codeforiati:land-locked-developing-countries,codeforiati:small-island-developing-states,codeforiati:developed-developing
012,active,015,002,,DZ,0,DZA,001,0,0,Developing
818,active,015,002,,EG,0,EGY,001,0,0,Developing
434,active,015,002,,LY,0,LBY,001,0,0,Developing
504,active,015,002,,MA,0,MAR,001,0,0,Developing
729,active,015,002,,SD,1,SDN,001,0,0,Developing
788,active,015,002,,TN,0,TUN,001,0,0,Developing
732,active,015,002,,EH,0,ESH,001,0,0,Developing
086,active,202,002,014,IO,0,IOT,001,0,0,Developing
108,active,202,002,014,BI,1,BDI,001,1,0,Developing
174,active,202,002,014,KM,1,COM,001,0,1,Developing
262,active,202,002,014,DJ,1,DJI,001,0,0,Developing
232,active,202,002,014,ER,1,ERI,001,0,0,Developing
231,active,202,002,014,ET,1,ETH,001,1,0,Developing
260,active,202,002,014,TF,0,ATF,001,0,0,Developing
404,active,202,002,014,KE,0,KEN,001,0,0,Developing
450,active,202,002,014,MG,1,MDG,001,0,0,Developing
454,active,202,002,014,MW,1,MWI,001,1,0,Developing
480,active,202,002,014,MU,0,MUS,001,0,1,Developing
175,active,202,002,014,YT,0,MYT,001,0,0,Developing
508,active,202,002,014,MZ,1,MOZ,001,0,0,Developing
638,active,202,002,014,RE,0,REU,001,0,0,Developing
646,active,202,002,014,RW,1,RWA,001,1,0,Developing
690,active,202,002,014,SC,0,SYC,001,0,1,Developing
706,active,202,002,014,SO,1,SOM,001,0,0,Developing
728,active,202,002,014,SS,1,SSD,001,1,0,Developing
800,active,202,002,014,UG,1,UGA,001,1,0,Developing
834,active,202,002,014,TZ,1,TZA,001,0,0,Developing
894,active,202,002,014,ZM,1,ZMB,001,1,0,Developing
716,active,202,002,014,ZW,0,ZWE,001,1,0,Developing
024,active,202,002,017,AO,1,AGO,001,0,0,Developing
120,active,202,002,017,CM,0,CMR,001,0,0,Developing
140,active,202,002,017,CF,1,CAF,001,1,0,Developing
148,active,202,002,017,TD,1,TCD,001,1,0,Developing
178,active,202,002,017,CG,0,COG,001,0,0,Developing
180,active,202,002,017,CD,1,COD,001,0,0,Developing
226,active,202,002,017,GQ,0,GNQ,001,0,0,Developing
266,active,202,002,017,GA,0,GAB,001,0,0,Developing
678,active,202,002,017,ST,1,STP,001,0,1,Developing
072,active,202,002,018,BW,0,BWA,001,1,0,Developing
748,active,202,002,018,SZ,0,SWZ,001,1,0,Developing
426,active,202,002,018,LS,1,LSO,001,1,0,Developing
516,active,202,002,018,NA,0,NAM,001,0,0,Developing
710,active,202,002,018,ZA,0,ZAF,001,0,0,Developing
204,active,202,002,011,BJ,1,BEN,001,0,0,Developing
854,active,202,002,011,BF,1,BFA,001,1,0,Developing
132,active,202,002,011,CV,0,CPV,001,0,1,Developing
384,active,202,002,011,CI,0,CIV,001,0,0,Developing
270,active,202,002,011,GM,1,GMB,001,0,0,Developing
288,active,202,002,011,GH,0,GHA,001,0,0,Developing
324,active,202,002,011,GN,1,GIN,001,0,0,Developing
624,active,202,002,011,GW,1,GNB,001,0,1,Developing
430,active,202,002,011,LR,1,LBR,001,0,0,Developing
466,active,202,002,011,ML,1,MLI,001,1,0,Developing
478,active,202,002,011,MR,1,MRT,001,0,0,Developing
562,active,202,002,011,NE,1,NER,001,1,0,Developing
566,active,202,002,011,NG,0,NGA,001,0,0,Developing
654,active,202,002,011,SH,0,SHN,001,0,0,Developing
686,active,202,002,011,SN,1,SEN,001,0,0,Developing
694,active,202,002,011,SL,1,SLE,001,0,0,Developing
768,active,202,002,011,TG,1,TGO,001,0,0,Developing
660,active,419,019,029,AI,0,AIA,001,0,1,Developing
028,active,419,019,029,AG,0,ATG,001,0,1,Developing
533,active,419,019,029,AW,0,ABW,001,0,1,Developing
044,active,419,019,029,BS,0,BHS,001,0,1,Developing
052,active,419,019,029,BB,0,BRB,001,0,1,Developing
535,active,419,019,029,BQ,0,BES,001,0,1,Developing
092,active,419,019,029,VG,0,VGB,001,0,1,Developing
136,active,419,019,029,KY,0,CYM,001,0,0,Developing
192,active,419,019,029,CU,0,CUB,001,0,1,Developing
531,active,419,019,029,CW,0,CUW,001,0,1,Developing
212,active,419,019,029,DM,0,DMA,001,0,1,Developing
214,active,419,019,029,DO,0,DOM,001,0,1,Developing
308,active,419,019,029,GD,0,GRD,001,0,1,Developing
312,active,419,019,029,GP,0,GLP,001,0,0,Developing
332,active,419,019,029,HT,1,HTI,001,0,1,Developing
388,active,419,019,029,JM,0,JAM,001,0,1,Developing
474,active,419,019,029,MQ,0,MTQ,001,0,0,Developing
500,active,419,019,029,MS,0,MSR,001,0,1,Developing
630,active,419,019,029,PR,0,PRI,001,0,1,Developing
652,active,419,019,029,BL,0,BLM,001,0,0,Developing
659,active,419,019,029,KN,0,KNA,001,0,1,Developing
662,active,419,019,029,LC,0,LCA,001,0,1,Developing
663,active,419,019,029,MF,0,MAF,001,0,0,Developing
670,active,419,019,029,VC,0,VCT,001,0,1,Developing
534,active,419,019,029,SX,0,SXM,001,0,1,Developing
780,active,419,019,029,TT,0,TTO,001,0,1,Developing
796,active,419,019,029,TC,0,TCA,001,0,0,Developing
850,active,419,019,029,VI,0,VIR,001,0,1,Developing
084,active,419,019,013,BZ,0,BLZ,001,0,1,Developing
188,active,419,019,013,CR,0,CRI,001,0,0,Developing
222,active,419,019,013,SV,0,SLV,001,0,0,Developing
320,active,419,019,013,GT,0,GTM,001,0,0,Developing
340,active,419,019,013,HN,0,HND,001,0,0,Developing
484,active,419,019,013,MX,0,MEX,001,0,0,Developing
558,active,419,019,013,NI,0,NIC,001,0,0,Developing
591,active,419,019,013,PA,0,PAN,001,0,0,Developing
032,active,419,019,005,AR,0,ARG,001,0,0,Developing
068,active,419,019,005,BO,0,BOL,001,1,0,Developing
074,active,419,019,005,BV,0,BVT,001,0,0,Developing
076,active,419,019,005,BR,0,BRA,001,0,0,Developing
152,active,419,019,005,CL,0,CHL,001,0,0,Developing
170,active,419,019,005,CO,0,COL,001,0,0,Developing
218,active,419,019,005,EC,0,ECU,001,0,0,Developing
238,active,419,019,005,FK,0,FLK,001,0,0,Developing
254,active,419,019,005,GF,0,GUF,001,0,0,Developing
328,active,419,019,005,GY,0,GUY,001,0,1,Developing
600,active,419,019,005,PY,0,PRY,001,1,0,Developing
604,active,419,019,005,PE,0,PER,001,0,0,Developing
239,active,419,019,005,GS,0,SGS,001,0,0,Developing
740,active,419,019,005,SR,0,SUR,001,0,1,Developing
858,active,419,019,005,UY,0,URY,001,0,0,Developing
862,active,419,019,005,VE,0,VEN,001,0,0,Developing
060,active,021,019,,BM,0,BMU,001,0,0,Developed
124,active,021,019,,CA,0,CAN,001,0,0,Developed
304,active,021,019,,GL,0,GRL,001,0,0,Developed
666,active,021,019,,PM,0,SPM,001,0,0,Developed
840,active,021,019,,US,0,USA,001,0,0,Developed
010,active,,,,AQ,0,ATA,001,0,0,
398,active,143,142,,KZ,0,KAZ,001,1,0,Developing
417,active,143,142,,KG,0,KGZ,001,1,0,Developing
762,active,143,142,,TJ,0,TJK,001,1,0,Developing
795,active,143,142,,TM,0,TKM,001,1,0,Developing
860,active,143,142,,UZ,0,UZB,001,1,0,Developing
156,active,030,142,,CN,0,CHN,001,0,0,Developing
344,active,030,142,,HK,0,HKG,001,0,0,Developing
446,active,030,142,,MO,0,MAC,001,0,0,Developing
408,active,030,142,,KP,0,PRK,001,0,0,Developing
392,active,030,142,,JP,0,JPN,001,0,0,Developed
496,active,030,142,,MN,0,MNG,001,1,0,Developing
