code,name,url,status
ADT,AidData,,active
COFOG,Classification of the Functions of Government (UN),http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=4,active
DAC,OECD Development Assistance Committee,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,active
DAC-3,OECD Development Assistance Committee 3 digit codes,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,active
ISO,International Organization for Standardization,,active
NACE,Statistical classification of economic activities in the European Community,http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2&StrLanguageCode=EN,active
NTEE,National Taxonomy for Exempt Entities (USA),http://nccs.urban.org/classification/NTEE.cfm,active
RO,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,,active
RO2,Reporting Organisation (2) - where reporting organisations have more than one vocabulary that they wish to reference,,active
WB,World Bank,,active
