code,status,codeforiati:developed-developing,codeforiati:iso-alpha-2-code,codeforiati:global-code,codeforiati:region-code,codeforiati:intermediate-region-code,codeforiati:land-locked-developing-countries,codeforiati:iso-alpha-3-code,codeforiati:small-island-developing-states,codeforiati:least-developed-countries,codeforiati:sub-region-code
012,active,Developing,DZ,001,002,,0,DZA,0,0,015
818,active,Developing,EG,001,002,,0,EGY,0,0,015
434,active,Developing,LY,001,002,,0,LBY,0,0,015
504,active,Developing,MA,001,002,,0,MAR,0,0,015
729,active,Developing,SD,001,002,,0,SDN,0,1,015
788,active,Developing,TN,001,002,,0,TUN,0,0,015
732,active,Developing,EH,001,002,,0,ESH,0,0,015
086,active,Developing,IO,001,002,014,0,IOT,0,0,202
108,active,Developing,BI,001,002,014,1,BDI,0,1,202
174,active,Developing,KM,001,002,014,0,COM,1,1,202
262,active,Developing,DJ,001,002,014,0,DJI,0,1,202
232,active,Developing,ER,001,002,014,0,ERI,0,1,202
231,active,Developing,ET,001,002,014,1,ETH,0,1,202
260,active,Developing,TF,001,002,014,0,ATF,0,0,202
404,active,Developing,KE,001,002,014,0,KEN,0,0,202
450,active,Developing,MG,001,002,014,0,MDG,0,1,202
454,active,Developing,MW,001,002,014,1,MWI,0,1,202
480,active,Developing,MU,001,002,014,0,MUS,1,0,202
175,active,Developing,YT,001,002,014,0,MYT,0,0,202
508,active,Developing,MZ,001,002,014,0,MOZ,0,1,202
638,active,Developing,RE,001,002,014,0,REU,0,0,202
646,active,Developing,RW,001,002,014,1,RWA,0,1,202
690,active,Developing,SC,001,002,014,0,SYC,1,0,202
706,active,Developing,SO,001,002,014,0,SOM,0,1,202
728,active,Developing,SS,001,002,014,1,SSD,0,1,202
800,active,Developing,UG,001,002,014,1,UGA,0,1,202
834,active,Developing,TZ,001,002,014,0,TZA,0,1,202
894,active,Developing,ZM,001,002,014,1,ZMB,0,1,202
716,active,Developing,ZW,001,002,014,1,ZWE,0,0,202
024,active,Developing,AO,001,002,017,0,AGO,0,1,202
120,active,Developing,CM,001,002,017,0,CMR,0,0,202
140,active,Developing,CF,001,002,017,1,CAF,0,1,202
148,active,Developing,TD,001,002,017,1,TCD,0,1,202
178,active,Developing,CG,001,002,017,0,COG,0,0,202
180,active,Developing,CD,001,002,017,0,COD,0,1,202
226,active,Developing,GQ,001,002,017,0,GNQ,0,0,202
266,active,Developing,GA,001,002,017,0,GAB,0,0,202
678,active,Developing,ST,001,002,017,0,STP,1,1,202
072,active,Developing,BW,001,002,018,1,BWA,0,0,202
748,active,Developing,SZ,001,002,018,1,SWZ,0,0,202
426,active,Developing,LS,001,002,018,1,LSO,0,1,202
516,active,Developing,NA,001,002,018,0,NAM,0,0,202
710,active,Developing,ZA,001,002,018,0,ZAF,0,0,202
204,active,Developing,BJ,001,002,011,0,BEN,0,1,202
854,active,Developing,BF,001,002,011,1,BFA,0,1,202
132,active,Developing,CV,001,002,011,0,CPV,1,0,202
384,active,Developing,CI,001,002,011,0,CIV,0,0,202
270,active,Developing,GM,001,002,011,0,GMB,0,1,202
288,active,Developing,GH,001,002,011,0,GHA,0,0,202
324,active,Developing,GN,001,002,011,0,GIN,0,1,202
624,active,Developing,GW,001,002,011,0,GNB,1,1,202
430,active,Developing,LR,001,002,011,0,LBR,0,1,202
466,active,Developing,ML,001,002,011,1,MLI,0,1,202
478,active,Developing,MR,001,002,011,0,MRT,0,1,202
562,active,Developing,NE,001,002,011,1,NER,0,1,202
566,active,Developing,NG,001,002,011,0,NGA,0,0,202
654,active,Developing,SH,001,002,011,0,SHN,0,0,202
686,active,Developing,SN,001,002,011,0,SEN,0,1,202
694,active,Developing,SL,001,002,011,0,SLE,0,1,202
768,active,Developing,TG,001,002,011,0,TGO,0,1,202
660,active,Developing,AI,001,019,029,0,AIA,1,0,419
028,active,Developing,AG,001,019,029,0,ATG,1,0,419
533,active,Developing,AW,001,019,029,0,ABW,1,0,419
044,active,Developing,BS,001,019,029,0,BHS,1,0,419
052,active,Developing,BB,001,019,029,0,BRB,1,0,419
535,active,Developing,BQ,001,019,029,0,BES,1,0,419
092,active,Developing,VG,001,019,029,0,VGB,1,0,419
136,active,Developing,KY,001,019,029,0,CYM,0,0,419
192,active,Developing,CU,001,019,029,0,CUB,1,0,419
531,active,Developing,CW,001,019,029,0,CUW,1,0,419
212,active,Developing,DM,001,019,029,0,DMA,1,0,419
214,active,Developing,DO,001,019,029,0,DOM,1,0,419
308,active,Developing,GD,001,019,029,0,GRD,1,0,419
312,active,Developing,GP,001,019,029,0,GLP,0,0,419
