code,status,codeforiati:intermediate-region-code,codeforiati:region-code,codeforiati:small-island-developing-states,codeforiati:least-developed-countries,codeforiati:iso-alpha-3-code,codeforiati:sub-region-code,codeforiati:land-locked-developing-countries,codeforiati:developed-developing,codeforiati:global-code,codeforiati:iso-alpha-2-code
012,active,,002,0,0,DZA,015,0,Developing,001,DZ
818,active,,002,0,0,EGY,015,0,Developing,001,EG
434,active,,002,0,0,LBY,015,0,Developing,001,LY
504,active,,002,0,0,MAR,015,0,Developing,001,MA
729,active,,002,0,1,SDN,015,0,Developing,001,SD
788,active,,002,0,0,TUN,015,0,Developing,001,TN
732,active,,002,0,0,ESH,015,0,Developing,001,EH
086,active,014,002,0,0,IOT,202,0,Developing,001,IO
108,active,014,002,0,1,BDI,202,1,Developing,001,BI
174,active,014,002,1,1,COM,202,0,Developing,001,KM
262,active,014,002,0,1,DJI,202,0,Developing,001,DJ
232,active,014,002,0,1,ERI,202,0,Developing,001,ER
231,active,014,002,0,1,ETH,202,1,Developing,001,ET
260,active,014,002,0,0,ATF,202,0,Developing,001,TF
404,active,014,002,0,0,KEN,202,0,Developing,001,KE
450,active,014,002,0,1,MDG,202,0,Developing,001,MG
454,active,014,002,0,1,MWI,202,1,Developing,001,MW
480,active,014,002,1,0,MUS,202,0,Developing,001,MU
175,active,014,002,0,0,MYT,202,0,Developing,001,YT
508,active,014,002,0,1,MOZ,202,0,Developing,001,MZ
638,active,014,002,0,0,REU,202,0,Developing,001,RE
646,active,014,002,0,1,RWA,202,1,Developing,001,RW
690,active,014,002,1,0,SYC,202,0,Developing,001,SC
706,active,014,002,0,1,SOM,202,0,Developing,001,SO
728,active,014,002,0,1,SSD,202,1,Developing,001,SS
800,active,014,002,0,1,UGA,202,1,Developing,001,UG
834,active,014,002,0,1,TZA,202,0,Developing,001,TZ
894,active,014,002,0,1,ZMB,202,1,Developing,001,ZM
716,active,014,002,0,0,ZWE,202,1,Developing,001,ZW
024,active,017,002,0,1,AGO,202,0,Developing,001,AO
120,active,017,002,0,0,CMR,202,0,Developing,001,CM
140,active,017,002,0,1,CAF,202,1,Developing,001,CF
148,active,017,002,0,1,TCD,202,1,Developing,001,TD
178,active,017,002,0,0,COG,202,0,Developing,001,CG
180,active,017,002,0,1,COD,202,0,Developing,001,CD
226,active,017,002,0,0,GNQ,202,0,Developing,001,GQ
266,active,017,002,0,0,GAB,202,0,Developing,001,GA
678,active,017,002,1,1,STP,202,0,Developing,001,ST
072,active,018,002,0,0,BWA,202,1,Developing,001,BW
748,active,018,002,0,0,SWZ,202,1,Developing,001,SZ
426,active,018,002,0,1,LSO,202,1,Developing,001,LS
516,active,018,002,0,0,NAM,202,0,Developing,001,NA
710,active,018,002,0,0,ZAF,202,0,Developing,001,ZA
204,active,011,002,0,1,BEN,202,0,Developing,001,BJ
854,active,011,002,0,1,BFA,202,1,Developing,001,BF
132,active,011,002,1,0,CPV,202,0,Developing,001,CV
384,active,011,002,0,0,CIV,202,0,Developing,001,CI
270,active,011,002,0,1,GMB,202,0,Developing,001,GM
288,active,011,002,0,0,GHA,202,0,Developing,001,GH
324,active,011,002,0,1,GIN,202,0,Developing,001,GN
624,active,011,002,1,1,GNB,202,0,Developing,001,GW
430,active,011,002,0,1,LBR,202,0,Developing,001,LR
466,active,011,002,0,1,MLI,202,1,Developing,001,ML
478,active,011,002,0,1,MRT,202,0,Developing,001,MR
562,active,011,002,0,1,NER,202,1,Developing,001,NE
566,active,011,002,0,0,NGA,202,0,Developing,001,NG
654,active,011,002,0,0,SHN,202,0,Developing,001,SH
686,active,011,002,0,1,SEN,202,0,Developing,001,SN
694,active,011,002,0,1,SLE,202,0,Developing,001,SL
768,active,011,002,0,1,TGO,202,0,Developing,001,TG
660,active,029,019,1,0,AIA,419,0,Developing,001,AI
028,active,029,019,1,0,ATG,419,0,Developing,001,AG
533,active,029,019,1,0,ABW,419,0,Developing,001,AW
044,active,029,019,1,0,BHS,419,0,Developing,001,BS
052,active,029,019,1,0,BRB,419,0,Developing,001,BB
535,active,029,019,1,0,BES,419,0,Developing,001,BQ
